Código (SKU),Data da Venda,Canal de Venda,Quantidade Vendida,Receita Bruta (R$),Desconto (R$),Preço Realizado por Unidade (R$),Tipo de Venda
SKU_1644_PEA,20/05/2025,Atacado,2,639.8,255.92,191.94,Venda
SKU_1771_EME,20/05/2025,Atacado,10,2649.0,927.1,172.19,Venda
SKU_1645_MYS,20/05/2025,Varejo,1,399.9,86.38,313.52,Venda
SKU_1729_FUC,20/05/2025,Atacado,6,1049.4,367.32,113.68,Venda
SKU_1701_SPA,20/05/2025,Varejo,1,339.9,0.0,339.9,Venda
SKU_1762_DEN,20/05/2025,Atacado,4,1019.6,356.88,165.68,Venda
SKU_1464_BIR,20/05/2025,E-commerce,1,229.9,45.89,184.01,Venda
SKU_1732_WHI,20/05/2025,Atacado,2,2229.8,780.44,724.68,Venda
SKU_1796_SHO,20/05/2025,Atacado,6,3029.4,1060.26,328.19,Venda
SKU_1783_EGR,20/05/2025,Atacado,4,4799.6,1439.88,839.93,Venda
SKU_1757_TUR,20/05/2025,Atacado,5,1324.5,397.35,185.43,Venda
SKU_1705_JAD,20/05/2025,Atacado,6,2459.4,860.76,266.44,Venda
SKU_1692_OLI,20/05/2025,Atacado,8,1759.2,615.68,142.94,Venda
SKU_1642_SAL,20/05/2025,Atacado,8,1799.2,629.76,146.18,Venda
SKU_1447_BLU,20/05/2025,Varejo,1,239.9,55.5,184.4,Venda
SKU_1741_PEA,20/05/2025,Varejo,3,719.7,0.0,239.9,Venda
SKU_1732_WHI,20/05/2025,Atacado,4,4459.6,1337.88,780.43,Venda
SKU_1505_SNO,20/05/2025,Atacado,2,469.8,164.44,152.68,Venda
SKU_1691_HUN,20/05/2025,Varejo,1,309.9,21.69,288.21,Venda
SKU_1724_PEA,20/05/2025,Atacado,3,3344.7,1170.66,724.68,Venda
SKU_1799_POW,20/05/2025,Atacado,5,1349.5,472.3,175.44,Venda
SKU_1784_BLA,20/05/2025,Varejo,1,309.9,0.0,309.9,Venda
SKU_1747_FUC,20/05/2025,Atacado,3,524.7,183.66,113.68,Venda
SKU_1671_SEA,20/05/2025,Varejo,1,349.9,79.53,270.37,Venda
SKU_1730_OFF,20/05/2025,Atacado,3,959.7,335.88,207.94,Venda
SKU_1718_SEA,20/05/2025,Atacado,4,1479.6,443.88,258.93,Venda
SKU_1662_PIS,20/05/2025,Varejo,1,199.9,44.51,155.39,Venda
SKU_1726_PAS,20/05/2025,E-commerce,3,1289.7,90.27,399.81,Venda
SKU_1740_FRE,20/05/2025,E-commerce,1,214.9,0.0,214.9,Venda
SKU_1718_DUS,20/05/2025,Atacado,5,1849.5,647.3,240.44,Venda
SKU_1740_FRE,20/05/2025,Atacado,3,644.7,257.88,128.94,Venda
SKU_1613_AQU,20/05/2025,Atacado,2,379.8,132.92,123.44,Venda
SKU_1437_AQU,20/05/2025,E-commerce,1,164.9,26.9,138.0,Venda
SKU_1718_SEA,20/05/2025,Atacado,6,2219.4,776.76,240.44,Venda
SKU_1739_MOS,20/05/2025,Atacado,3,764.7,229.41,178.43,Venda
SKU_1717_MIN,20/05/2025,Atacado,2,519.8,155.94,181.93,Venda
SKU_1745_PEA,20/05/2025,Varejo,1,409.9,28.69,381.21,Venda
SKU_1681_OFF,20/05/2025,Atacado,4,939.6,422.8,129.2,Venda
SKU_1728_EGR,20/05/2025,Atacado,6,1979.4,692.76,214.44,Venda
SKU_1690_MAG,20/05/2025,Atacado,6,3239.4,1133.76,350.94,Venda
SKU_1451_WHI,20/05/2025,Varejo,1,244.9,45.14,199.76,Venda
SKU_1694_PIS,20/05/2025,Varejo,1,279.9,0.0,279.9,Venda
SKU_1713_SNO,20/05/2025,Atacado,12,6058.8,2120.52,328.19,Venda
SKU_1691_HUN,20/05/2025,Atacado,2,619.8,185.94,216.93,Venda
SKU_1778_MIN,20/05/2025,Atacado,6,1709.4,683.76,170.94,Venda
SKU_1772_BLU,20/05/2025,Varejo,2,829.8,0.0,414.9,Venda
SKU_1637_WHI,20/05/2025,Atacado,4,3679.6,1287.84,597.94,Venda
SKU_1637_BLU,20/05/2025,Varejo,1,919.9,169.21,750.69,Venda
SKU_1576_AQU,20/05/2025,Atacado,4,979.6,342.88,159.18,Venda
SKU_1730_MIN,20/05/2025,Varejo,3,959.7,0.0,319.9,Venda
SKU_1772_BLU,20/05/2025,Atacado,8,3319.2,1161.68,269.69,Venda
SKU_1788_MYS,20/05/2025,Atacado,10,2499.0,874.6,162.44,Venda
SKU_1510_ROS,20/05/2025,Varejo,1,834.9,190.03,644.87,Venda
SKU_1747_TEA,20/05/2025,Atacado,4,699.6,244.88,113.68,Venda
SKU_1683_SHO,21/05/2025,E-commerce,1,314.9,22.04,292.86,Venda
SKU_1663_SNO,21/05/2025,Varejo,2,1589.8,369.42,610.19,Venda
SKU_1639_WHI,21/05/2025,Atacado,10,1899.0,759.6,113.94,Venda
SKU_1801_FLA,21/05/2025,Varejo,1,374.9,0.0,374.9,Venda
SKU_1746_NAV,21/05/2025,Atacado,6,1079.4,377.76,116.94,Venda
SKU_1742_DEN,21/05/2025,Atacado,5,1299.5,454.8,168.94,Venda
SKU_1798_OFF,21/05/2025,Atacado,10,4199.0,1469.6,272.94,Venda
SKU_1744_EME,21/05/2025,E-commerce,1,264.9,0.0,264.9,Venda
SKU_1765_PAS,21/05/2025,Atacado,12,3118.8,1091.52,168.94,Venda
SKU_1478_COB,21/05/2025,Varejo,1,194.9,40.83,154.07,Venda
SKU_1689_IVO,21/05/2025,Varejo,1,964.9,0.0,964.9,Venda
SKU_1796_OLI,21/05/2025,Varejo,1,504.9,0.0,504.9,Venda
SKU_1799_DEN,21/05/2025,Atacado,6,1619.4,566.76,175.44,Venda
SKU_1493_PEA,21/05/2025,Atacado,12,3958.8,1187.64,230.93,Venda
SKU_1738_ROY,21/05/2025,Atacado,2,389.8,136.44,126.68,Venda
SKU_1740_OLI,21/05/2025,Varejo,2,429.8,0.0,214.9,Venda
SKU_1726_BUB,21/05/2025,Varejo,1,429.9,0.0,429.9,Venda
SKU_1588_PAS,21/05/2025,Atacado,2,979.8,342.92,318.44,Venda
SKU_1718_DUS,21/05/2025,Varejo,1,369.9,0.0,369.9,Venda
SKU_1724_PIN,21/05/2025,Atacado,6,6689.4,2341.32,724.68,Venda
SKU_1791_ARM,21/05/2025,Atacado,3,794.7,317.88,158.94,Venda
SKU_1751_MIN,21/05/2025,Varejo,1,329.9,0.0,329.9,Venda
SKU_1736_JAD,21/05/2025,Atacado,10,3249.0,974.7,227.43,Venda
SKU_1744_LIG,21/05/2025,Atacado,3,794.7,278.13,172.19,Venda
SKU_1697_PIS,21/05/2025,Varejo,1,219.9,0.0,219.9,Venda
SKU_1670_PEA,21/05/2025,Atacado,12,1738.8,695.52,86.94,Venda
SKU_1418_MOS,21/05/2025,Varejo,1,844.9,239.27,605.63,Venda
SKU_1751_MIN,21/05/2025,Atacado,3,989.7,296.91,230.93,Venda
SKU_1701_SPA,21/05/2025,Atacado,6,2039.4,611.82,237.93,Venda
SKU_1773_FRE,21/05/2025,Atacado,4,1299.6,389.88,227.43,Venda
SKU_1594_WHI,21/05/2025,Atacado,2,999.8,349.92,324.94,Venda
SKU_1731_ARM,21/05/2025,Varejo,1,909.9,0.0,909.9,Venda
SKU_1727_WHI,21/05/2025,E-commerce,1,154.9,0.0,154.9,Venda
SKU_1707_ARM,21/05/2025,Varejo,1,279.9,0.0,279.9,Venda
SKU_1770_JAD,21/05/2025,Atacado,6,1319.4,395.82,153.93,Venda
SKU_1513_RAS,21/05/2025,Atacado,3,644.7,257.88,128.94,Venda
SKU_1680_NAV,21/05/2025,Atacado,6,2009.4,602.82,234.43,Venda
SKU_1705_SER,21/05/2025,Atacado,3,1229.7,430.38,266.44,Venda
SKU_1770_DEE,21/05/2025,Atacado,4,879.6,351.84,131.94,Venda
SKU_1707_SAP,21/05/2025,Varejo,1,279.9,0.0,279.9,Venda
SKU_1788_MYS,21/05/2025,E-commerce,1,249.9,0.0,249.9,Venda
SKU_1688_WHI,21/05/2025,E-commerce,2,859.8,0.0,429.9,Venda
SKU_1779_LIG,21/05/2025,Atacado,4,859.6,343.84,128.94,Venda
SKU_1762_BRI,21/05/2025,Atacado,2,509.8,152.94,178.43,Venda
SKU_1796_OLI,21/05/2025,Varejo,1,504.9,0.0,504.9,Venda
SKU_1413_SAG,21/05/2025,Varejo,1,184.9,49.94,134.96,Venda
SKU_1729_FUC,21/05/2025,Atacado,2,349.8,104.94,122.43,Venda
SKU_1711_ARM,21/05/2025,Varejo,1,994.9,0.0,994.9,Venda
