Código (SKU),Data da Venda,Canal de Venda,Quantidade Vendida,Receita Bruta (R$),Desconto (R$),Preço Realizado por Unidade (R$),Tipo de Venda
SKU_1339_EME,26/12/2024,Atacado,5,1549.5,542.3,201.44,Venda
SKU_1488_IVO,26/12/2024,Varejo,1,339.9,0.0,339.9,Venda
SKU_1300_BIR,26/12/2024,Varejo,1,1149.9,342.8,807.1,Venda
SKU_1462_MID,26/12/2024,Atacado,2,729.8,218.94,255.43,Venda
SKU_1302_DUS,26/12/2024,E-commerce,1,419.9,91.55,328.35,Venda
SKU_1473_BLU,26/12/2024,Varejo,1,179.9,0.0,179.9,Venda
SKU_1411_RAS,26/12/2024,E-commerce,1,224.9,0.0,224.9,Venda
SKU_1356_DEN,26/12/2024,Varejo,3,644.7,135.63,169.69,Venda
SKU_1303_SAP,26/12/2024,Atacado,8,1319.2,461.76,107.18,Venda
SKU_1321_SER,26/12/2024,Atacado,4,599.6,179.88,104.93,Venda
SKU_1361_BLU,26/12/2024,Varejo,1,189.9,51.16,138.74,Venda
SKU_1560_PAL,26/12/2024,Varejo,3,674.7,0.0,224.9,Venda
SKU_1367_BLA,26/12/2024,E-commerce,1,179.9,30.09,149.81,Venda
SKU_1585_COR,26/12/2024,Varejo,4,1279.6,0.0,319.9,Venda
SKU_1441_IVO,26/12/2024,Atacado,6,6929.4,2425.32,750.68,Venda
SKU_1523_CRE,26/12/2024,Varejo,2,749.8,0.0,374.9,Venda
SKU_1292_TEA,26/12/2024,Varejo,1,309.9,60.39,249.51,Venda
SKU_1536_MOS,26/12/2024,Atacado,3,1034.7,310.41,241.43,Venda
SKU_1571_BIR,26/12/2024,Atacado,10,2499.0,874.6,162.44,Venda
SKU_1461_NAV,26/12/2024,Atacado,3,3209.7,1283.88,641.94,Venda
SKU_1514_SPA,26/12/2024,Atacado,4,3319.6,1161.84,539.44,Venda
SKU_1641_MEX,26/12/2024,Varejo,1,324.9,22.74,302.16,Venda
SKU_1627_MOS,26/12/2024,Varejo,2,659.8,0.0,329.9,Venda
SKU_1477_CLE,26/12/2024,Atacado,12,2698.8,1079.52,134.94,Venda
SKU_1435_OLI,26/12/2024,Varejo,4,4039.6,0.0,1009.9,Venda
SKU_1596_CER,26/12/2024,Varejo,1,274.9,0.0,274.9,Venda
SKU_1420_EGR,26/12/2024,Varejo,1,989.9,0.0,989.9,Venda
SKU_1666_FUC,26/12/2024,Atacado,5,3999.5,1199.85,559.93,Venda
SKU_1553_DEN,26/12/2024,Varejo,1,254.9,0.0,254.9,Venda
SKU_1365_NAV,26/12/2024,Varejo,3,1499.7,427.44,357.42,Venda
SKU_1392_LIM,26/12/2024,Varejo,1,294.9,0.0,294.9,Venda
SKU_1287_NAV,26/12/2024,Atacado,8,3039.2,1063.68,246.94,Venda
SKU_1542_PEA,26/12/2024,Atacado,10,4699.0,1409.7,328.93,Venda
SKU_1616_COR,26/12/2024,Varejo,1,1024.9,71.74,953.16,Venda
SKU_1385_PRI,26/12/2024,Atacado,5,1449.5,434.85,202.93,Venda
SKU_1610_PRI,26/12/2024,Varejo,1,184.9,0.0,184.9,Venda
SKU_1284_COR,26/12/2024,Atacado,4,2839.6,993.84,461.44,Venda
SKU_1550_PAL,26/12/2024,Atacado,5,824.5,247.35,115.43,Venda
SKU_1551_ROS,26/12/2024,Atacado,6,1319.4,395.82,153.93,Venda
SKU_1475_MIN,26/12/2024,Atacado,2,499.8,174.92,162.44,Venda
SKU_1630_LIM,26/12/2024,Atacado,6,2009.4,703.26,217.69,Venda
SKU_1613_AQU,26/12/2024,Varejo,1,189.9,0.0,189.9,Venda
SKU_1286_HOT,26/12/2024,Atacado,4,979.6,391.84,146.94,Venda
SKU_1662_LIG,26/12/2024,Varejo,1,199.9,13.99,185.91,Venda
SKU_1648_FLA,26/12/2024,Atacado,3,2099.7,734.88,454.94,Venda
SKU_1276_LIG,26/12/2024,E-commerce,1,174.9,27.28,147.62,Venda
SKU_1573_SAG,26/12/2024,Atacado,6,6149.4,2152.32,666.18,Venda
SKU_1398_SPA,26/12/2024,Atacado,3,2024.7,809.88,404.94,Venda
SKU_1429_SPA,26/12/2024,Atacado,12,2278.8,797.52,123.44,Venda
SKU_1636_SHO,26/12/2024,E-commerce,1,439.9,0.0,439.9,Venda
SKU_1638_SAP,26/12/2024,E-commerce,1,1139.9,0.0,1139.9,Venda
SKU_1472_EME,26/12/2024,Varejo,1,469.9,0.0,469.9,Venda
SKU_1572_MAR,26/12/2024,Atacado,4,559.6,167.88,97.93,Venda
SKU_1332_MOS,26/12/2024,E-commerce,1,164.9,30.16,134.74,Venda
SKU_1506_BRI,26/12/2024,Atacado,6,1379.4,482.76,149.44,Venda
SKU_1656_FUC,26/12/2024,E-commerce,1,234.9,0.0,234.9,Venda
SKU_1307_FOR,26/12/2024,Atacado,3,659.7,230.88,142.94,Venda
SKU_1455_ROY,26/12/2024,Atacado,4,1339.6,401.88,234.43,Venda
SKU_1433_SAP,26/12/2024,Varejo,2,629.8,0.0,314.9,Venda
SKU_1396_FUC,26/12/2024,Atacado,8,1079.2,377.76,87.68,Venda
SKU_1361_BLU,26/12/2024,Atacado,3,569.7,227.88,113.94,Venda
SKU_1589_TUR,26/12/2024,Atacado,10,6799.0,2719.6,407.94,Venda
SKU_1594_WHI,26/12/2024,Atacado,8,3999.2,1399.68,324.94,Venda
SKU_1472_MYS,26/12/2024,Atacado,2,939.8,281.94,328.93,Venda
SKU_1405_CLO,26/12/2024,Varejo,2,429.8,0.0,214.9,Venda
SKU_1467_OLI,26/12/2024,Varejo,1,204.9,0.0,204.9,Venda
SKU_1547_FUC,26/12/2024,Varejo,1,329.9,0.0,329.9,Venda
SKU_1374_SAL,26/12/2024,Atacado,10,1899.0,569.7,132.93,Venda
SKU_1590_MYS,26/12/2024,Atacado,6,1139.4,341.82,132.93,Venda
SKU_1659_MOS,26/12/2024,Varejo,1,1024.9,0.0,1024.9,Venda
SKU_1465_OFF,26/12/2024,Atacado,5,1574.5,551.05,204.69,Venda
SKU_1292_TEA,26/12/2024,Varejo,1,309.9,82.7,227.2,Venda
SKU_1419_FLA,26/12/2024,Varejo,1,249.9,0.0,249.9,Venda
SKU_1286_MAR,26/12/2024,Atacado,4,979.6,293.88,171.43,Venda
SKU_1352_HUN,26/12/2024,Varejo,4,1119.6,272.08,211.88,Venda
SKU_1497_FUC,26/12/2024,Varejo,3,404.7,0.0,134.9,Venda
SKU_1592_SAG,26/12/2024,E-commerce,1,209.9,14.69,195.21,Venda
SKU_1411_BLU,26/12/2024,Atacado,5,1124.5,393.6,146.18,Venda
