Código (SKU),Data da Venda,Canal de Venda,Quantidade Vendida,Receita Bruta (R$),Desconto (R$),Preço Realizado por Unidade (R$),Tipo de Venda
SKU_1536_FRE,20/08/2024,Varejo,1,344.9,0.0,344.9,Venda
SKU_1584_FLA,20/08/2024,Varejo,1,184.9,0.0,184.9,Venda
SKU_1481_TEA,20/08/2024,Varejo,2,1619.8,0.0,809.9,Venda
SKU_1477_EME,20/08/2024,Atacado,5,1124.5,393.6,146.18,Venda
SKU_1646_CLE,20/08/2024,Varejo,1,204.9,14.34,190.56,Venda
SKU_1300_TEA,20/08/2024,Atacado,3,3449.7,1552.38,632.44,Venda
SKU_1398_AQU,20/08/2024,Varejo,1,674.9,0.0,674.9,Venda
SKU_1531_SNO,20/08/2024,Varejo,1,549.9,0.0,549.9,Venda
SKU_1679_GAR,20/08/2024,E-commerce,1,919.9,0.0,919.9,Venda
SKU_1557_TUR,20/08/2024,Atacado,4,799.6,319.84,119.94,Venda
SKU_1470_WHI,20/08/2024,Atacado,8,7359.2,2207.76,643.93,Venda
SKU_1580_MOS,20/08/2024,Atacado,3,569.7,199.38,123.44,Venda
SKU_1460_OLI,20/08/2024,Varejo,1,174.9,0.0,174.9,Venda
SKU_1337_MAG,20/08/2024,E-commerce,1,184.9,35.54,149.36,Venda
SKU_1411_RAS,20/08/2024,Atacado,8,1799.2,629.76,146.18,Venda
SKU_1395_BLA,20/08/2024,Varejo,1,289.9,0.0,289.9,Venda
SKU_1650_OLI,20/08/2024,Varejo,1,1004.9,0.0,1004.9,Venda
SKU_1315_WHI,20/08/2024,Varejo,1,344.9,100.43,244.47,Venda
SKU_1434_ARM,20/08/2024,E-commerce,2,419.8,0.0,209.9,Venda
SKU_1279_IVO,20/08/2024,E-commerce,1,454.9,104.54,350.36,Venda
SKU_1403_AQU,20/08/2024,Atacado,3,1154.7,404.13,250.19,Venda
SKU_1465_OFF,20/08/2024,Varejo,1,314.9,0.0,314.9,Venda
SKU_1446_SHO,20/08/2024,Atacado,2,539.8,242.92,148.44,Venda
SKU_1657_SPA,20/08/2024,Atacado,5,1074.5,322.35,150.43,Venda
SKU_1448_SEA,20/08/2024,Atacado,8,1439.2,503.68,116.94,Venda
SKU_1326_BAB,20/08/2024,Varejo,2,1009.8,271.14,369.33,Venda
SKU_1565_BAB,20/08/2024,Varejo,1,359.9,0.0,359.9,Venda
SKU_1483_WHI,20/08/2024,Varejo,1,324.9,0.0,324.9,Venda
SKU_1570_MEX,20/08/2024,E-commerce,1,714.9,0.0,714.9,Venda
SKU_1296_DEE,20/08/2024,E-commerce,1,649.9,152.35,497.55,Venda
SKU_1525_MYS,20/08/2024,Varejo,1,289.9,0.0,289.9,Venda
SKU_1415_MID,20/08/2024,Atacado,6,2129.4,745.26,230.69,Venda
SKU_1545_TEA,20/08/2024,Atacado,3,779.7,233.91,181.93,Venda
SKU_1295_PIS,20/08/2024,Atacado,4,2059.6,720.84,334.69,Venda
SKU_1396_FUC,20/08/2024,E-commerce,1,134.9,0.0,134.9,Venda
SKU_1359_BLU,20/08/2024,Varejo,2,849.8,176.24,336.78,Venda
SKU_1320_FOR,20/08/2024,Atacado,6,899.4,269.82,104.93,Venda
SKU_1346_PEA,20/08/2024,Atacado,2,529.8,185.42,172.19,Venda
SKU_1278_MOS,20/08/2024,Varejo,1,1029.9,230.94,798.96,Venda
SKU_1590_MYS,20/08/2024,Varejo,1,189.9,0.0,189.9,Venda
SKU_1371_WHI,20/08/2024,E-commerce,1,274.9,77.91,196.99,Venda
SKU_1474_BRI,20/08/2024,Varejo,2,2119.8,0.0,1059.9,Venda
SKU_1659_SNO,20/08/2024,Varejo,1,1024.9,0.0,1024.9,Venda
SKU_1638_PEA,20/08/2024,Atacado,4,4559.6,1595.84,740.94,Venda
SKU_1302_EME,20/08/2024,Varejo,1,419.9,64.28,355.62,Venda
SKU_1383_TUR,20/08/2024,Varejo,1,179.9,38.17,141.73,Venda
SKU_1501_OLI,20/08/2024,Varejo,2,339.8,0.0,169.9,Venda
SKU_1630_LIM,20/08/2024,Atacado,6,2009.4,602.82,234.43,Venda
SKU_1416_CLE,20/08/2024,Varejo,1,279.9,0.0,279.9,Venda
SKU_1505_SNO,20/08/2024,Varejo,1,234.9,0.0,234.9,Venda
SKU_1637_WHI,20/08/2024,Atacado,3,2759.7,965.88,597.94,Venda
SKU_1553_HOT,20/08/2024,Varejo,1,254.9,0.0,254.9,Venda
SKU_1302_DUS,20/08/2024,E-commerce,1,419.9,88.61,331.29,Venda
SKU_1390_SAP,20/08/2024,Atacado,6,1379.4,482.76,149.44,Venda
SKU_1391_SEA,20/08/2024,Atacado,5,1424.5,427.35,199.43,Venda
SKU_1330_LIM,20/08/2024,Varejo,1,309.9,55.21,254.69,Venda
SKU_1311_BAB,20/08/2024,Varejo,2,1759.8,363.74,698.03,Venda
SKU_1550_PAL,20/08/2024,Varejo,1,164.9,0.0,164.9,Venda
SKU_1658_MYS,20/08/2024,Atacado,8,7039.2,2463.68,571.94,Venda
SKU_1564_BLA,20/08/2024,Atacado,4,2359.6,825.84,383.44,Venda
SKU_1314_BLU,20/08/2024,Atacado,4,1159.6,405.84,188.44,Venda
