Código (SKU),Data da Venda,Canal de Venda,Quantidade Vendida,Receita Bruta (R$),Desconto (R$),Preço Realizado por Unidade (R$),Tipo de Venda
SKU_1676_NAV,20/11/2024,Varejo,2,339.8,52.58,143.61,Venda
SKU_1507_FLA,20/11/2024,Varejo,2,359.8,68.5,145.65,Venda
SKU_1625_GAR,20/11/2024,Atacado,12,2458.8,737.64,143.43,Venda
SKU_1405_CLO,20/11/2024,Atacado,6,1289.4,451.32,139.68,Venda
SKU_1375_COR,20/11/2024,Atacado,12,3178.8,953.64,185.43,Venda
SKU_1281_PIS,20/11/2024,Varejo,1,529.9,158.59,371.31,Venda
SKU_1316_DEN,20/11/2024,Atacado,3,1544.7,695.1,283.2,Venda
SKU_1389_SHO,20/11/2024,Varejo,1,139.9,32.5,107.4,Venda
SKU_1359_BLU,20/11/2024,E-commerce,1,424.9,127.31,297.59,Venda
SKU_1442_EME,20/11/2024,Varejo,2,579.8,115.38,232.21,Venda
SKU_1484_MOS,20/11/2024,Atacado,5,2299.5,804.8,298.94,Venda
SKU_1472_EME,20/11/2024,Atacado,3,1409.7,493.38,305.44,Venda
SKU_1480_SNO,20/11/2024,Atacado,6,2219.4,665.82,258.93,Venda
SKU_1382_ARM,20/11/2024,Varejo,1,189.9,53.64,136.26,Venda
SKU_1458_MIN,20/11/2024,Atacado,12,4198.8,1259.64,244.93,Venda
SKU_1363_RAS,20/11/2024,Atacado,8,7599.2,2659.68,617.44,Venda
SKU_1288_SAG,20/11/2024,Atacado,12,2878.8,1007.52,155.94,Venda
SKU_1625_GAR,20/11/2024,Varejo,1,204.9,47.82,157.08,Venda
SKU_1518_CLE,20/11/2024,E-commerce,1,234.9,59.63,175.27,Venda
SKU_1473_BAB,20/11/2024,Varejo,1,179.9,27.12,152.78,Venda
SKU_1336_PIN,20/11/2024,Atacado,3,1049.7,367.38,227.44,Venda
SKU_1286_MAR,20/11/2024,Atacado,3,734.7,257.16,159.18,Venda
SKU_1442_OFF,20/11/2024,Atacado,5,1449.5,579.8,173.94,Venda
SKU_1585_COR,20/11/2024,Atacado,8,2559.2,767.76,223.93,Venda
SKU_1350_BAB,20/11/2024,Varejo,3,854.7,187.14,222.52,Venda
SKU_1587_DEE,20/11/2024,E-commerce,3,689.7,196.47,164.41,Venda
