Código (SKU),Data da Venda,Canal de Venda,Quantidade Vendida,Receita Bruta (R$),Desconto (R$),Preço Realizado por Unidade (R$),Tipo de Venda
SKU_1935_DEN,10/10/2025,Varejo,1,179.9,0.0,179.9,Venda
SKU_1708_FLA,10/10/2025,Atacado,2,339.8,152.26,93.77,Venda
SKU_1696_SER,10/10/2025,Varejo,1,279.9,57.42,222.48,Venda
SKU_1838_DEN,10/10/2025,Varejo,1,319.9,0.0,319.9,Venda
SKU_1725_BAB,10/10/2025,Atacado,3,734.7,345.69,129.67,Venda
SKU_1817_PRI,10/10/2025,Atacado,4,879.6,444.52,108.77,Venda
SKU_1789_SNO,10/10/2025,Varejo,3,809.7,134.13,225.19,Venda
SKU_2110_SPA,10/10/2025,Atacado,4,879.6,371.48,127.03,Venda
SKU_1897_SHO,10/10/2025,E-commerce,2,469.8,0.0,234.9,Venda
SKU_1875_BIR,10/10/2025,Atacado,4,699.6,311.96,96.91,Venda
SKU_1958_PAS,10/10/2025,Varejo,1,184.9,0.0,184.9,Venda
SKU_1978_ROS,10/10/2025,E-commerce,1,249.9,0.0,249.9,Venda
SKU_1957_PEA,10/10/2025,Atacado,10,1899.0,899.0,100.0,Venda
SKU_1934_HON,10/10/2025,Varejo,1,259.9,0.0,259.9,Venda
SKU_1697_MIN,10/10/2025,Varejo,1,219.9,58.58,161.32,Venda
SKU_1847_MYS,10/10/2025,Atacado,2,539.8,255.02,142.39,Venda
SKU_1919_PEA,10/10/2025,Varejo,1,679.9,0.0,679.9,Venda
SKU_1792_MIN,10/10/2025,Varejo,1,439.9,107.57,332.33,Venda
SKU_1926_IVO,10/10/2025,Varejo,2,539.8,37.78,251.01,Venda
SKU_1892_AQU,10/10/2025,E-commerce,1,289.9,0.0,289.9,Venda
SKU_1863_MOS,10/10/2025,Atacado,3,764.7,334.95,143.25,Venda
SKU_1835_BIR,10/10/2025,Varejo,1,184.9,0.0,184.9,Venda
SKU_2085_ARM,10/10/2025,Atacado,8,3639.2,1722.4,239.6,Venda
SKU_1899_SAP,10/10/2025,E-commerce,1,224.9,0.0,224.9,Venda
SKU_2021_NAV,10/10/2025,E-commerce,1,189.9,0.0,189.9,Venda
SKU_1747_FUC,10/10/2025,Atacado,4,699.6,353.72,86.47,Venda
SKU_2074_ARM,10/10/2025,Atacado,5,1324.5,567.25,151.45,Venda
SKU_1904_CLE,10/10/2025,E-commerce,1,744.9,0.0,744.9,Venda
SKU_1823_MIN,10/10/2025,Atacado,2,389.8,202.16,93.82,Venda
SKU_2036_SPA,10/10/2025,Atacado,6,1439.4,671.22,128.03,Venda
SKU_2105_RAS,10/10/2025,Varejo,1,339.9,0.0,339.9,Venda
SKU_1794_FLA,10/10/2025,Atacado,4,839.6,443.4,99.05,Venda
SKU_1924_BIR,10/10/2025,Varejo,1,644.9,0.0,644.9,Venda
SKU_1782_HUN,10/10/2025,Atacado,4,999.6,496.08,125.88,Venda
SKU_1808_SNO,10/10/2025,Varejo,2,1919.8,134.38,892.71,Venda
SKU_2018_OFF,10/10/2025,E-commerce,2,959.8,0.0,479.9,Venda
SKU_1695_LIM,10/10/2025,Atacado,3,629.7,334.11,98.53,Venda
SKU_2037_SEA,10/10/2025,E-commerce,2,1449.8,0.0,724.9,Venda
SKU_1763_HOT,10/10/2025,Varejo,1,299.9,71.96,227.94,Venda
SKU_1711_VAN,10/10/2025,Varejo,1,994.9,227.2,767.7,Venda
SKU_2025_BAB,10/10/2025,E-commerce,1,229.9,0.0,229.9,Venda
SKU_1961_LIG,10/10/2025,Atacado,5,2074.5,976.3,219.64,Venda
SKU_1856_PAS,10/10/2025,E-commerce,1,324.9,0.0,324.9,Venda
SKU_1805_BLU,10/10/2025,Atacado,12,6958.8,3361.68,299.76,Venda
SKU_1846_SEA,10/10/2025,Varejo,2,699.8,0.0,349.9,Venda
SKU_1906_SHO,10/10/2025,Atacado,4,1179.6,636.0,135.9,Venda
SKU_1964_BRI,10/10/2025,Atacado,5,1474.5,623.5,170.2,Venda
SKU_2072_BAB,10/10/2025,Atacado,6,1619.4,924.66,115.79,Venda
SKU_2027_CLE,10/10/2025,Varejo,1,349.9,0.0,349.9,Venda
SKU_1923_PEA,10/10/2025,Atacado,4,759.6,360.72,99.72,Venda
SKU_1891_BUB,10/10/2025,Varejo,1,329.9,0.0,329.9,Venda
SKU_1684_HON,10/10/2025,Varejo,1,184.9,36.35,148.55,Venda
SKU_1936_WHI,10/10/2025,Atacado,5,649.5,341.4,61.62,Venda
SKU_2083_VAN,10/10/2025,Varejo,1,234.9,0.0,234.9,Venda
SKU_2096_TEA,10/10/2025,Varejo,1,259.9,18.19,241.71,Venda
SKU_1744_EME,10/10/2025,Atacado,6,1589.4,799.14,131.71,Venda
SKU_1792_MIN,10/10/2025,Atacado,5,2199.5,1056.15,228.67,Venda
SKU_2062_BAB,10/10/2025,Atacado,12,1678.8,809.04,72.48,Venda
SKU_1937_BUB,10/10/2025,Varejo,1,209.9,0.0,209.9,Venda
SKU_1931_MID,10/10/2025,Varejo,2,1489.8,0.0,744.9,Venda
SKU_1813_BLU,10/10/2025,Varejo,1,254.9,0.0,254.9,Venda
SKU_1697_MIN,10/10/2025,Atacado,3,659.7,316.23,114.49,Venda
SKU_1776_PAS,10/10/2025,Varejo,1,329.9,77.52,252.38,Venda
SKU_2025_BAB,10/10/2025,Varejo,1,229.9,0.0,229.9,Venda
