Código (SKU),Data da Posição de Estoque,Quantidade em Estoque,Valor ao Custo (R$),Valor a Preço de Venda (R$),Localização / CD
SKU_1061_EGR,2025-10-01,60,6939.2,24594.0,principal
SKU_1062_OLI,2025-10-01,166,9467.22,33183.4,principal
SKU_1062_MID,2025-10-01,130,7414.09,25987.0,principal
SKU_1063_SNO,2025-10-01,111,6506.08,20523.9,principal
SKU_1063_SAP,2025-10-01,60,3516.8,11094.0,principal
SKU_1064_PRI,2025-10-01,100,6768.04,18990.0,principal
SKU_1064_BIR,2025-10-01,140,9475.25,26586.0,principal
SKU_1065_CLE,2025-10-01,141,29934.45,90930.9,principal
SKU_1065_COB,2025-10-01,126,26749.94,81257.4,principal
SKU_1066_IVO,2025-10-01,173,10301.61,31122.7,principal
SKU_1066_WHI,2025-10-01,80,4763.75,14392.0,principal
SKU_1067_EME,2025-10-01,79,6654.82,20927.1,principal
SKU_1067_WHI,2025-10-01,74,6233.63,19602.6,principal
SKU_1068_COR,2025-10-01,75,19733.39,59617.5,principal
SKU_1068_BAL,2025-10-01,0,0.0,0.0,principal
SKU_1069_OLI,2025-10-01,0,0.0,0.0,principal
SKU_1069_CRE,2025-10-01,88,15434.93,46631.2,principal
SKU_1070_LIG,2025-10-01,0,0.0,0.0,principal
SKU_1070_MID,2025-10-01,153,17466.77,52769.7,principal
SKU_1071_BAB,2025-10-01,176,15637.79,47502.4,principal
SKU_1071_SKY,2025-10-01,146,12972.26,39405.4,principal
SKU_1072_PAS,2025-10-01,152,23138.49,69904.8,principal
SKU_1072_CER,2025-10-01,133,20246.18,61166.7,principal
SKU_1073_FRE,2025-10-01,91,9635.71,29110.9,principal
SKU_1073_BLU,2025-10-01,116,12282.88,37108.4,principal
SKU_1074_JAD,2025-10-01,137,9241.07,28071.3,principal
SKU_1074_PRI,2025-10-01,174,11736.84,35652.6,principal
SKU_1075_NAV,2025-10-01,101,9311.01,29279.9,principal
SKU_1075_LIG,2025-10-01,166,15303.24,48123.4,principal
SKU_1076_BLU,2025-10-01,0,0.0,0.0,principal
SKU_1076_POW,2025-10-01,140,9904.31,30086.0,principal
SKU_1077_NAV,2025-10-01,65,4752.03,14943.5,principal
SKU_1077_MAR,2025-10-01,84,6141.09,19311.6,principal
SKU_1078_GAR,2025-10-01,0,0.0,0.0,principal
SKU_1078_BLU,2025-10-01,161,15866.26,49893.9,principal
SKU_1079_BAB,2025-10-01,103,9321.2,28314.7,principal
SKU_1079_JAD,2025-10-01,153,13846.05,42059.7,principal
SKU_1080_TEA,2025-10-01,109,16460.98,51764.1,principal
SKU_1080_MAR,2025-10-01,72,10873.31,34192.8,principal
SKU_1081_EGR,2025-10-01,58,5096.24,16234.2,principal
SKU_1081_PAS,2025-10-01,125,10983.28,34987.5,principal
SKU_1082_PIN,2025-10-01,156,10068.58,32744.4,principal
SKU_1082_LIG,2025-10-01,172,11101.25,36102.8,principal
SKU_1083_OFF,2025-10-01,56,7579.52,25754.4,principal
SKU_1083_BAB,2025-10-01,133,18001.36,61166.7,principal
SKU_1084_DUS,2025-10-01,63,20392.93,62363.7,principal
SKU_1084_PAS,2025-10-01,81,26219.48,80181.9,principal
SKU_1085_COB,2025-10-01,114,18618.18,56988.6,principal
SKU_1085_CRE,2025-10-01,84,13718.66,41991.6,principal
SKU_1086_PRI,2025-10-01,177,15620.38,39807.3,principal
SKU_1086_CRE,2025-10-01,72,6354.05,16192.8,principal
SKU_1087_BIR,2025-10-01,84,12158.91,31491.6,principal
SKU_1087_SNO,2025-10-01,142,20554.34,53235.8,principal
SKU_1088_CER,2025-10-01,130,30594.86,92937.0,principal
SKU_1088_HON,2025-10-01,141,33183.66,100800.9,principal
SKU_1089_GAR,2025-10-01,180,17545.68,60282.0,principal
SKU_1089_EGR,2025-10-01,120,11697.12,40188.0,principal
SKU_1090_PAL,2025-10-01,175,7580.7,23607.5,principal
SKU_1090_WHI,2025-10-01,88,3812.01,11871.2,principal
SKU_1091_OFF,2025-10-01,65,5471.23,20468.5,principal
SKU_1091_MOS,2025-10-01,126,10605.77,39677.4,principal
SKU_1092_TUR,2025-10-01,142,15318.58,46845.8,principal
SKU_1092_MIN,2025-10-01,186,20065.18,61361.4,principal
SKU_1093_GAR,2025-10-01,0,0.0,0.0,principal
SKU_1093_TEA,2025-10-01,83,34459.14,96686.7,principal
SKU_1094_FOR,2025-10-01,80,7143.97,18792.0,principal
SKU_1094_DEE,2025-10-01,179,15984.63,42047.1,principal
SKU_1095_COB,2025-10-01,139,18527.74,56281.1,principal
SKU_1095_MAG,2025-10-01,0,0.0,0.0,principal
SKU_1096_HOT,2025-10-01,139,12807.89,38906.1,principal
SKU_1096_CLE,2025-10-01,53,4883.58,14834.7,principal
SKU_1097_AQU,2025-10-01,0,0.0,0.0,principal
SKU_1097_PAL,2025-10-01,126,8962.62,27077.4,principal
SKU_1098_HON,2025-10-01,0,0.0,0.0,principal
SKU_1098_HUN,2025-10-01,161,18380.07,55528.9,principal
SKU_1099_SAL,2025-10-01,61,4564.04,15243.9,principal
SKU_1099_PRI,2025-10-01,84,6284.91,20991.6,principal
SKU_1100_PEA,2025-10-01,78,3940.29,14422.2,principal
SKU_1100_COB,2025-10-01,0,0.0,0.0,principal
SKU_1101_CLE,2025-10-01,0,0.0,0.0,principal
SKU_1101_DEE,2025-10-01,120,13308.33,49788.0,principal
SKU_1102_FLA,2025-10-01,189,54443.4,183311.1,principal
SKU_1102_OFF,2025-10-01,136,39176.2,131906.4,principal
SKU_1103_EGR,2025-10-01,73,3607.22,9482.7,principal
SKU_1103_LIG,2025-10-01,51,2520.11,6624.9,principal
SKU_1104_POW,2025-10-01,73,4346.92,13132.7,principal
SKU_1104_MEX,2025-10-01,118,7026.53,21228.2,principal
SKU_1105_ARM,2025-10-01,0,0.0,0.0,principal
SKU_1105_SER,2025-10-01,172,11601.93,35242.8,principal
SKU_1106_MYS,2025-10-01,118,29264.97,92028.2,principal
SKU_1106_SNO,2025-10-01,78,19344.64,60832.2,principal
SKU_1107_BAL,2025-10-01,148,48473.12,147245.2,principal
SKU_1107_PAS,2025-10-01,52,17031.1,51734.8,principal
SKU_1108_PRI,2025-10-01,115,9512.44,28738.5,principal
SKU_1108_SNO,2025-10-01,97,8023.54,24240.3,principal
SKU_1109_SAG,2025-10-01,0,0.0,0.0,principal
SKU_1109_CER,2025-10-01,187,11790.36,42991.3,principal
SKU_1110_FLA,2025-10-01,157,9913.86,36094.3,principal
SKU_1110_HUN,2025-10-01,0,0.0,0.0,principal
SKU_1111_CRE,2025-10-01,46,2580.89,9655.4,principal
SKU_1111_BLU,2025-10-01,83,4656.82,17421.7,principal
SKU_1112_MIN,2025-10-01,110,8980.98,30239.0,principal
SKU_1112_EGR,2025-10-01,89,7266.43,24466.1,principal
SKU_1113_VAN,2025-10-01,0,0.0,0.0,principal
SKU_1113_OLI,2025-10-01,0,0.0,0.0,principal
SKU_1114_GAR,2025-10-01,91,12045.39,36390.9,principal
SKU_1114_PRI,2025-10-01,131,17340.06,52386.9,principal
SKU_1115_LIM,2025-10-01,135,9602.81,29011.5,principal
SKU_1115_TEA,2025-10-01,0,0.0,0.0,principal
SKU_1116_MOS,2025-10-01,92,7265.71,22070.8,principal
SKU_1116_SNO,2025-10-01,106,8371.36,25429.4,principal
SKU_1117_MOS,2025-10-01,113,8224.92,24848.7,principal
SKU_1117_MIN,2025-10-01,159,11573.12,34964.1,principal
SKU_1118_FUC,2025-10-01,111,10834.92,32733.9,principal
SKU_1118_DUS,2025-10-01,76,7418.5,22412.4,principal
SKU_1119_PAS,2025-10-01,63,2901.47,8813.7,principal
SKU_1119_LIG,2025-10-01,0,0.0,0.0,principal
SKU_1120_AQU,2025-10-01,76,5797.9,18232.4,principal
SKU_1120_SAL,2025-10-01,141,10756.64,33825.9,principal
SKU_1121_MYS,2025-10-01,126,10365.65,31487.4,principal
SKU_1121_MIN,2025-10-01,158,12998.2,39484.2,principal
SKU_1122_ROY,2025-10-01,93,13079.7,39515.7,principal
SKU_1122_PIS,2025-10-01,178,25034.26,75632.2,principal
SKU_1123_BAB,2025-10-01,72,10245.38,30952.8,principal
SKU_1123_SER,2025-10-01,0,0.0,0.0,principal
SKU_1124_BLU,2025-10-01,172,21510.85,65342.8,principal
SKU_1124_FOR,2025-10-01,137,17133.64,52046.3,principal
SKU_1125_MIN,2025-10-01,151,7948.5,24144.9,principal
SKU_1125_SAP,2025-10-01,86,4526.96,13751.4,principal
SKU_1126_WHI,2025-10-01,145,32871.78,99310.5,principal
SKU_1126_WHI,2025-10-01,145,32871.78,99310.5,principal
SKU_1127_SAL,2025-10-01,158,10397.52,31584.2,principal
SKU_1127_BLU,2025-10-01,68,4474.88,13593.2,principal
SKU_1128_PRI,2025-10-01,141,19026.41,57795.9,principal
SKU_1128_TEA,2025-10-01,0,0.0,0.0,principal
SKU_1129_VAN,2025-10-01,123,15670.43,47342.7,principal
SKU_1129_SAG,2025-10-01,78,9937.35,30022.2,principal
SKU_1130_CRE,2025-10-01,50,3701.48,12495.0,principal
SKU_1130_MEX,2025-10-01,123,9105.63,30737.7,principal
SKU_1131_CLO,2025-10-01,147,39847.97,130080.3,principal
SKU_1131_JAD,2025-10-01,63,17077.7,55748.7,principal
SKU_1132_NAV,2025-10-01,0,0.0,0.0,principal
SKU_1132_CLE,2025-10-01,181,9316.63,31656.9,principal
SKU_1133_MOS,2025-10-01,78,21078.74,70972.2,principal
SKU_1133_PEA,2025-10-01,158,42697.97,143764.2,principal
SKU_1134_DUS,2025-10-01,68,6001.05,15293.2,principal
SKU_1134_PIN,2025-10-01,163,14384.87,36658.7,principal
SKU_1135_ROS,2025-10-01,118,8070.11,21228.2,principal
SKU_1135_MAR,2025-10-01,82,5608.04,14751.8,principal
SKU_1136_SNO,2025-10-01,113,9296.18,28238.7,principal
SKU_1136_FUC,2025-10-01,60,4936.02,14994.0,principal
SKU_1137_DEE,2025-10-01,71,9141.83,28747.9,principal
SKU_1137_PAL,2025-10-01,149,19184.97,60330.1,principal
SKU_1138_PEA,2025-10-01,155,11085.32,34859.5,principal
SKU_1138_HON,2025-10-01,124,8868.26,27887.6,principal
SKU_1139_PRI,2025-10-01,111,10651.22,32178.9,principal
SKU_1139_EGR,2025-10-01,140,13433.97,40586.0,principal
SKU_1140_SNO,2025-10-01,149,8905.58,29785.1,principal
SKU_1140_ROS,2025-10-01,0,0.0,0.0,principal
SKU_1141_SKY,2025-10-01,73,8060.79,26637.7,principal
SKU_1141_CLE,2025-10-01,183,20207.18,66776.7,principal
SKU_1142_MIN,2025-10-01,86,7813.55,29231.4,principal
SKU_1142_PAS,2025-10-01,77,6995.86,26172.3,principal
SKU_1143_IVO,2025-10-01,131,8348.93,25531.9,principal
SKU_1143_SNO,2025-10-01,58,3696.47,11304.2,principal
SKU_1144_SEA,2025-10-01,147,18447.61,48495.3,principal
SKU_1144_BUB,2025-10-01,178,22337.92,58722.2,principal
SKU_1145_MOS,2025-10-01,115,17125.44,51738.5,principal
SKU_1145_LIG,2025-10-01,0,0.0,0.0,principal
SKU_1146_FRE,2025-10-01,61,9436.16,28663.9,principal
SKU_1146_CER,2025-10-01,134,20728.6,62966.6,principal
SKU_1147_COR,2025-10-01,182,21078.68,63681.8,principal
SKU_1147_MEX,2025-10-01,0,0.0,0.0,principal
SKU_1148_TEA,2025-10-01,88,12667.77,38271.2,principal
SKU_1148_SPA,2025-10-01,160,23032.3,69584.0,principal
SKU_1149_IVO,2025-10-01,108,5491.61,17269.2,principal
SKU_1149_OLI,2025-10-01,127,6457.72,20307.3,principal
SKU_1150_SAG,2025-10-01,135,26870.12,85711.5,principal
SKU_1150_VAN,2025-10-01,171,34035.48,108567.9,principal
SKU_1151_CRE,2025-10-01,128,31653.16,103667.2,principal
SKU_1151_JAD,2025-10-01,131,32395.03,106096.9,principal
SKU_1152_CLO,2025-10-01,176,47745.77,178622.4,principal
SKU_1152_WHI,2025-10-01,108,29298.54,109609.2,principal
SKU_1153_PEA,2025-10-01,167,18594.67,62608.3,principal
SKU_1153_MOS,2025-10-01,68,7571.48,25493.2,principal
SKU_1154_VAN,2025-10-01,93,19520.21,49745.7,principal
SKU_1154_PEA,2025-10-01,116,24347.79,62048.4,principal
SKU_1155_ARM,2025-10-01,146,43009.55,113135.4,principal
SKU_1155_BAB,2025-10-01,99,29164.01,76715.1,principal
SKU_1156_FLA,2025-10-01,162,14676.91,46153.8,principal
SKU_1156_EGR,2025-10-01,91,8244.44,25925.9,principal
SKU_1157_DEE,2025-10-01,128,8001.93,24307.2,principal
SKU_1157_PAS,2025-10-01,106,6626.6,20129.4,principal
SKU_1158_AQU,2025-10-01,168,36857.22,115903.2,principal
SKU_1158_MYS,2025-10-01,96,21061.27,66230.4,principal
SKU_1159_PAS,2025-10-01,95,5656.96,17090.5,principal
SKU_1159_PRI,2025-10-01,103,6133.33,18529.7,principal
SKU_1160_DUS,2025-10-01,157,10648.04,32169.3,principal
SKU_1160_LIM,2025-10-01,57,3865.85,11679.3,principal
SKU_1161_MEX,2025-10-01,87,12235.85,36966.3,principal
SKU_1161_DUS,2025-10-01,0,0.0,0.0,principal
SKU_1162_HOT,2025-10-01,169,40838.55,128423.1,principal
SKU_1162_BUB,2025-10-01,163,39388.66,123863.7,principal
SKU_1163_HUN,2025-10-01,140,11517.39,34986.0,principal
SKU_1163_SPA,2025-10-01,141,11599.66,35235.9,principal
SKU_1164_BRI,2025-10-01,166,10552.32,33183.4,principal
SKU_1164_MIN,2025-10-01,81,5149.02,16191.9,principal
SKU_1165_HUN,2025-10-01,0,0.0,0.0,principal
SKU_1165_MAR,2025-10-01,169,18266.91,57443.1,principal
SKU_1166_PIS,2025-10-01,85,16350.45,51416.5,principal
SKU_1166_FRE,2025-10-01,145,27891.94,87710.5,principal
SKU_1167_WHI,2025-10-01,105,24872.21,78214.5,principal
SKU_1167_JAD,2025-10-01,85,20134.65,63316.5,principal
SKU_1168_GAR,2025-10-01,140,35213.77,106386.0,principal
SKU_1168_BLU,2025-10-01,0,0.0,0.0,principal
SKU_1169_BUB,2025-10-01,124,7882.46,24787.6,principal
SKU_1169_MEX,2025-10-01,132,8391.0,26386.8,principal
SKU_1170_GAR,2025-10-01,110,32406.12,98439.0,principal
SKU_1170_OFF,2025-10-01,65,19149.07,58168.5,principal
SKU_1171_MIN,2025-10-01,68,3849.39,12573.2,principal
SKU_1171_EME,2025-10-01,128,7245.92,23667.2,principal
SKU_1172_ARM,2025-10-01,51,5632.31,18354.9,principal
SKU_1172_PIN,2025-10-01,53,5853.19,19074.7,principal
SKU_1173_GAR,2025-10-01,57,4946.98,16809.3,principal
SKU_1173_AQU,2025-10-01,61,5294.13,17988.9,principal
SKU_1174_PEA,2025-10-01,92,6121.52,19310.8,principal
SKU_1174_BLU,2025-10-01,79,5256.53,16582.1,principal
SKU_1175_FUC,2025-10-01,58,5114.23,15654.2,principal
SKU_1175_CLE,2025-10-01,77,6789.58,20782.3,principal
SKU_1176_GAR,2025-10-01,183,22617.33,59456.7,principal
SKU_1176_NAV,2025-10-01,165,20392.67,53608.5,principal
SKU_1177_MIN,2025-10-01,157,12399.09,37664.3,principal
SKU_1177_PEA,2025-10-01,97,7660.58,23270.3,principal
SKU_1178_RAS,2025-10-01,159,16174.78,50864.1,principal
SKU_1178_MID,2025-10-01,118,12003.93,37748.2,principal
SKU_1179_TUR,2025-10-01,123,13294.85,41807.7,principal
SKU_1179_VAN,2025-10-01,157,16969.85,53364.3,principal
SKU_1180_ROY,2025-10-01,147,22440.86,77895.3,principal
SKU_1180_AQU,2025-10-01,92,14044.62,48750.8,principal
SKU_1181_AQU,2025-10-01,169,15170.5,48993.1,principal
SKU_1181_SER,2025-10-01,116,10412.89,33628.4,principal
SKU_1182_BIR,2025-10-01,106,26870.94,89029.4,principal
SKU_1182_PIN,2025-10-01,112,28391.94,94068.8,principal
SKU_1183_POW,2025-10-01,107,23194.14,69539.3,principal
SKU_1183_MOS,2025-10-01,162,35116.36,105283.8,principal
SKU_1184_HOT,2025-10-01,128,15249.11,43507.2,principal
SKU_1184_BAB,2025-10-01,0,0.0,0.0,principal
SKU_1185_BAL,2025-10-01,76,28479.29,75232.4,principal
SKU_1185_MAG,2025-10-01,122,45716.75,120767.8,principal
SKU_1186_FLA,2025-10-01,0,0.0,0.0,principal
SKU_1186_MEX,2025-10-01,151,23606.9,71709.9,principal
SKU_1187_JAD,2025-10-01,79,8103.58,24482.1,principal
SKU_1187_OLI,2025-10-01,108,11078.31,33469.2,principal
SKU_1188_TEA,2025-10-01,57,4526.19,13674.3,principal
SKU_1188_BAB,2025-10-01,63,5002.63,15113.7,principal
SKU_1189_FUC,2025-10-01,0,0.0,0.0,principal
SKU_1189_ROY,2025-10-01,176,13684.33,41342.4,principal
SKU_1190_TEA,2025-10-01,87,14669.37,50451.3,principal
SKU_1190_MAG,2025-10-01,120,20233.62,69588.0,principal
SKU_1191_MIN,2025-10-01,52,2993.03,9614.8,principal
SKU_1191_MYS,2025-10-01,118,6791.87,21818.2,principal
SKU_1192_MAR,2025-10-01,79,5087.08,18557.1,principal
SKU_1192_RAS,2025-10-01,0,0.0,0.0,principal
SKU_1193_CLE,2025-10-01,108,15185.9,48049.2,principal
SKU_1193_ROS,2025-10-01,66,9280.27,29363.4,principal
SKU_1194_FLA,2025-10-01,105,8097.66,23089.5,principal
SKU_1194_SAG,2025-10-01,90,6940.85,19791.0,principal
SKU_1195_HUN,2025-10-01,114,18264.54,53568.6,principal
SKU_1195_SAL,2025-10-01,0,0.0,0.0,principal
SKU_1196_PEA,2025-10-01,0,0.0,0.0,principal
SKU_1196_RAS,2025-10-01,0,0.0,0.0,principal
SKU_1197_ROS,2025-10-01,95,24859.7,75515.5,principal
SKU_1197_COR,2025-10-01,57,14915.82,45309.3,principal
SKU_1198_SEA,2025-10-01,126,13418.77,42197.4,principal
SKU_1198_SAL,2025-10-01,64,6815.88,21433.6,principal
SKU_1199_PAL,2025-10-01,133,7652.83,27916.7,principal
SKU_1199_TEA,2025-10-01,114,6559.57,23928.6,principal
SKU_1200_MID,2025-10-01,176,9375.52,31662.4,principal
SKU_1200_PAS,2025-10-01,134,7138.18,24106.6,principal
SKU_1201_BIR,2025-10-01,0,0.0,0.0,principal
SKU_1201_SAG,2025-10-01,153,23631.83,74189.7,principal
SKU_1202_LIG,2025-10-01,160,47448.82,130384.0,principal
SKU_1202_CLE,2025-10-01,152,45076.38,123864.8,principal
SKU_1203_OFF,2025-10-01,0,0.0,0.0,principal
SKU_1203_FLA,2025-10-01,101,27889.34,76749.9,principal
SKU_1204_AQU,2025-10-01,44,5939.67,15395.6,principal
SKU_1204_MIN,2025-10-01,138,18628.96,48286.2,principal
SKU_1205_RAS,2025-10-01,109,28679.2,86644.1,principal
SKU_1205_COR,2025-10-01,82,21575.18,65181.8,principal
SKU_1206_HUN,2025-10-01,133,18265.14,55181.7,principal
SKU_1206_BLA,2025-10-01,53,7278.59,21989.7,principal
SKU_1207_POW,2025-10-01,113,37939.87,115248.7,principal
SKU_1207_BLA,2025-10-01,67,22495.32,68333.3,principal
SKU_1208_PAS,2025-10-01,84,20587.27,54171.6,principal
SKU_1208_MOS,2025-10-01,84,20587.27,54171.6,principal
SKU_1209_BLA,2025-10-01,117,12628.14,32748.3,principal
SKU_1209_DUS,2025-10-01,94,10145.68,26310.6,principal
SKU_1210_SHO,2025-10-01,112,8977.25,22948.8,principal
SKU_1210_WHI,2025-10-01,146,11702.49,29915.4,principal
SKU_1211_GAR,2025-10-01,169,17797.57,54063.1,principal
SKU_1211_CRE,2025-10-01,179,18850.68,57262.1,principal
SKU_1212_COB,2025-10-01,179,12517.15,39362.1,principal
SKU_1212_SNO,2025-10-01,97,6783.04,21330.3,principal
SKU_1213_MAG,2025-10-01,95,27361.62,83115.5,principal
SKU_1213_POW,2025-10-01,81,23329.38,70866.9,principal
