Código (SKU),Data da Posição de Estoque,Quantidade em Estoque,Valor ao Custo (R$),Valor a Preço de Venda (R$),Localização / CD
SKU_1000_COR,2023-09-01,324,31833.87,116607.6,principal
SKU_1000_EME,2023-09-01,503,30057.79,103064.7,principal
SKU_1000_ROY,2023-09-01,229,13684.36,46922.1,principal
SKU_1001_AQU,2023-09-01,468,117578.11,439873.2,principal
SKU_1001_SAP,2023-09-01,497,124863.93,467130.3,principal
SKU_1002_COR,2023-09-01,266,20432.07,62483.4,principal
SKU_1002_MYS,2023-09-01,447,34335.1,105000.3,principal
SKU_1003_SNO,2023-09-01,281,40235.48,102536.9,principal
SKU_1003_DUS,2023-09-01,506,72452.5,184639.4,principal
SKU_1004_FOR,2023-09-01,219,24968.19,65678.1,principal
SKU_1004_MEX,2023-09-01,287,32720.87,86071.3,principal
SKU_1005_OLI,2023-09-01,290,17652.03,53621.0,principal
SKU_1006_MOS,2023-09-01,283,17089.86,53741.7,principal
SKU_1006_FOR,2023-09-01,453,27355.85,86024.7,principal
SKU_1007_COB,2023-09-01,485,45482.43,143026.5,principal
SKU_1007_FOR,2023-09-01,216,20256.09,63698.4,principal
SKU_1008_MEX,2023-09-01,312,33553.07,101368.8,principal
SKU_1008_WHI,2023-09-01,294,31617.32,95520.6,principal
SKU_1009_BAB,2023-09-01,326,46363.89,167857.4,principal
SKU_1009_MAG,2023-09-01,268,38115.1,137993.2,principal
SKU_1010_SNO,2023-09-01,479,54224.05,181972.1,principal
SKU_1011_CER,2023-09-01,213,14797.38,55358.7,principal
SKU_1011_MIN,2023-09-01,202,14033.2,52499.8,principal
SKU_1012_VAN,2023-09-01,231,66541.93,224046.9,principal
SKU_1012_CLO,2023-09-01,214,61644.9,207558.6,principal
SKU_1013_LIG,2023-09-01,845,57826.7,152015.5,principal
SKU_1013_LIG,2023-09-01,845,57826.7,152015.5,principal
SKU_1014_FLA,2023-09-01,198,26208.65,79180.2,principal
SKU_1014_MIN,2023-09-01,317,41960.31,126768.3,principal
SKU_1015_ROY,2023-09-01,298,92216.67,278600.2,principal
SKU_1015_TUR,2023-09-01,426,131826.51,398267.4,principal
SKU_1016_HON,2023-09-01,169,12021.29,36318.1,principal
SKU_1016_SNO,2023-09-01,317,22548.81,68123.3,principal
SKU_1017_PAS,2023-09-01,507,24167.78,75999.3,principal
SKU_1017_BAL,2023-09-01,454,21641.36,68054.6,principal
SKU_1018_TEA,2023-09-01,485,18492.18,58151.5,principal
SKU_1018_ARM,2023-09-01,498,18987.84,59710.2,principal
SKU_1019_NAV,2023-09-01,190,15635.33,50331.0,principal
SKU_1019_GAR,2023-09-01,198,16293.65,52450.2,principal
SKU_1020_NAV,2023-09-01,184,11193.38,36781.6,principal
SKU_1020_LIG,2023-09-01,458,27861.77,91554.2,principal
SKU_1021_CRE,2023-09-01,447,34040.74,127350.3,principal
SKU_1021_PAS,2023-09-01,326,24826.13,92877.4,principal
SKU_1022_PAL,2023-09-01,204,21339.89,65259.6,principal
SKU_1022_DEN,2023-09-01,286,29917.69,91491.4,principal
SKU_1023_DEN,2023-09-01,292,32071.17,81730.8,principal
SKU_1023_FOR,2023-09-01,319,35036.65,89288.1,principal
SKU_1024_VAN,2023-09-01,316,25215.4,66328.4,principal
SKU_1024_DEN,2023-09-01,187,14921.77,39251.3,principal
SKU_1025_WHI,2023-09-01,282,43483.89,136741.8,principal
SKU_1025_MIN,2023-09-01,459,70776.97,222569.1,principal
SKU_1026_CLO,2023-09-01,447,61053.53,185460.3,principal
SKU_1026_SPA,2023-09-01,290,39609.67,120321.0,principal
SKU_1027_MAR,2023-09-01,236,31512.66,99096.4,principal
SKU_1027_BIR,2023-09-01,232,30978.54,97416.8,principal
SKU_1028_BLU,2023-09-01,221,44268.11,139207.9,principal
SKU_1028_AQU,2023-09-01,276,55285.06,173852.4,principal
SKU_1029_BLU,2023-09-01,233,18145.62,57061.7,principal
SKU_1029_BAL,2023-09-01,213,16588.06,52163.7,principal
