Código (SKU),Data da Venda,Canal de Venda,Quantidade Vendida,Receita Bruta (R$),Desconto (R$),Preço Realizado por Unidade (R$),Tipo de Venda
SKU_1962_FRE,17/02/2026,Varejo,1,214.9,41.92,172.98,Venda
SKU_1836_MID,17/02/2026,Varejo,1,714.9,99.91,614.99,Venda
SKU_1858_IVO,17/02/2026,E-commerce,1,899.9,173.5,726.4,Venda
SKU_2054_ROY,17/02/2026,Atacado,6,2459.4,1066.26,232.19,Venda
SKU_1853_ROS,17/02/2026,Varejo,1,899.9,106.68,793.22,Venda
SKU_2002_WHI,17/02/2026,Varejo,3,614.7,122.61,164.03,Venda
SKU_1750_MIN,17/02/2026,Varejo,1,369.9,53.14,316.76,Venda
SKU_1825_MIN,17/02/2026,Varejo,1,174.9,21.18,153.72,Venda
SKU_2108_BLU,17/02/2026,Atacado,12,3598.8,1830.84,147.33,Venda
SKU_1800_SKY,17/02/2026,Varejo,1,279.9,48.77,231.13,Venda
SKU_2005_FUC,17/02/2026,Atacado,5,899.5,558.3,68.24,Venda
SKU_2069_TEA,17/02/2026,Varejo,3,659.7,112.98,182.24,Venda
SKU_1749_BIR,17/02/2026,Varejo,2,699.8,139.14,280.33,Venda
SKU_1851_DEE,17/02/2026,Varejo,1,214.9,35.29,179.61,Venda
SKU_2018_OFF,17/02/2026,E-commerce,1,479.9,81.12,398.78,Venda
SKU_1829_HUN,17/02/2026,Atacado,3,779.7,375.57,134.71,Venda
SKU_1710_OLI,17/02/2026,Varejo,2,1619.8,316.54,651.63,Venda
SKU_2004_AQU,17/02/2026,Atacado,5,1124.5,616.75,101.55,Venda
SKU_2029_PRI,17/02/2026,Atacado,3,2894.7,1378.23,505.49,Venda
SKU_1894_AQU,17/02/2026,Varejo,1,274.9,34.56,240.34,Venda
SKU_1785_PAS,17/02/2026,E-commerce,1,244.9,26.73,218.17,Venda
SKU_1956_PEA,17/02/2026,Atacado,5,1049.5,537.35,102.43,Venda
SKU_2074_PAS,17/02/2026,Atacado,2,529.8,238.52,145.64,Venda
SKU_1887_PAS,17/02/2026,Atacado,5,999.5,422.6,115.38,Venda
SKU_2062_DUS,17/02/2026,Atacado,10,1399.0,693.7,70.53,Venda
SKU_2050_BLU,17/02/2026,Atacado,3,1364.7,633.87,243.61,Venda
SKU_1685_BIR,17/02/2026,E-commerce,1,664.9,86.92,577.98,Venda
SKU_2066_TEA,17/02/2026,E-commerce,1,474.9,62.09,412.81,Venda
SKU_2064_PIS,17/02/2026,Atacado,4,1599.6,792.04,201.89,Venda
SKU_2049_TEA,17/02/2026,Varejo,1,214.9,33.99,180.91,Venda
SKU_1854_MID,17/02/2026,Varejo,1,184.9,23.7,161.2,Venda
SKU_2112_MID,17/02/2026,Varejo,1,334.9,65.37,269.53,Venda
SKU_1907_TEA,17/02/2026,Varejo,2,549.8,95.48,227.16,Venda
SKU_1867_TEA,17/02/2026,Atacado,3,599.7,340.95,86.25,Venda
SKU_1696_SER,17/02/2026,Varejo,2,559.8,93.5,233.15,Venda
SKU_1845_TUR,17/02/2026,Varejo,1,819.9,143.04,676.86,Venda
SKU_1923_TUR,17/02/2026,Varejo,1,189.9,26.8,163.1,Venda
SKU_1707_SAP,17/02/2026,Atacado,10,2799.0,1232.6,156.64,Venda
SKU_2071_PEA,17/02/2026,Varejo,4,1039.6,118.16,230.36,Venda
SKU_1963_SER,17/02/2026,Atacado,6,4169.4,1993.32,362.68,Venda
SKU_1991_GAR,17/02/2026,E-commerce,1,299.9,49.5,250.4,Venda
SKU_1730_MIN,17/02/2026,Varejo,3,959.7,132.9,275.6,Venda
SKU_1788_EME,17/02/2026,Varejo,3,749.7,130.5,206.4,Venda
SKU_1902_BLU,17/02/2026,Varejo,4,3319.6,608.2,677.85,Venda
SKU_2101_BUB,17/02/2026,Atacado,10,2449.0,1168.0,128.1,Venda
SKU_1870_SAG,17/02/2026,Atacado,2,459.8,208.34,125.73,Venda
SKU_1831_MID,17/02/2026,Atacado,4,1339.6,705.36,158.56,Venda
SKU_2010_SPA,17/02/2026,Varejo,1,919.9,180.7,739.2,Venda
SKU_1769_EME,17/02/2026,Atacado,2,649.8,303.2,173.3,Venda
SKU_1894_AQU,17/02/2026,Atacado,3,824.7,350.37,158.11,Venda
SKU_2087_DEN,17/02/2026,Atacado,6,1499.4,759.66,123.29,Venda
SKU_1711_VAN,17/02/2026,Varejo,1,994.9,118.17,876.73,Venda
SKU_1956_CLO,17/02/2026,Varejo,2,419.8,55.54,182.13,Venda
SKU_2088_DUS,17/02/2026,Varejo,1,1094.9,134.44,960.46,Venda
SKU_1853_BLU,17/02/2026,Atacado,5,4499.5,2257.35,448.43,Venda
SKU_2034_PAS,17/02/2026,Varejo,3,509.7,79.65,143.35,Venda
SKU_2036_MAR,17/02/2026,Varejo,1,239.9,33.8,206.1,Venda
SKU_1784_EGR,17/02/2026,E-commerce,1,309.9,47.62,262.28,Venda
SKU_1842_POW,17/02/2026,Atacado,2,1069.8,557.7,256.05,Venda
SKU_2062_BAB,17/02/2026,Varejo,1,139.9,19.45,120.45,Venda
SKU_1759_CLE,17/02/2026,Atacado,3,809.7,380.46,143.08,Venda
SKU_1689_IVO,17/02/2026,Atacado,12,11578.8,5301.24,523.13,Venda
SKU_2111_ARM,17/02/2026,E-commerce,1,234.9,42.09,192.81,Venda
SKU_1757_PIN,17/02/2026,Atacado,2,529.8,277.1,126.35,Venda
SKU_1715_JAD,17/02/2026,Atacado,4,879.6,418.4,115.3,Venda
SKU_2056_SKY,17/02/2026,Varejo,1,1034.9,107.07,927.83,Venda
SKU_1806_ROS,17/02/2026,E-commerce,1,194.9,29.8,165.1,Venda
SKU_2040_MIN,17/02/2026,Atacado,4,1179.6,616.64,140.74,Venda
SKU_1966_CER,17/02/2026,Atacado,5,3374.5,1778.15,319.27,Venda
SKU_1914_SNO,17/02/2026,Varejo,1,199.9,38.75,161.15,Venda
SKU_1788_MYS,17/02/2026,Atacado,8,1999.2,997.92,125.16,Venda
SKU_1893_BIR,17/02/2026,Varejo,1,629.9,76.6,553.3,Venda
SKU_2067_MIN,17/02/2026,Varejo,1,349.9,64.53,285.37,Venda
SKU_1916_HOT,17/02/2026,Atacado,12,3058.8,1459.44,133.28,Venda
SKU_1718_SEA,17/02/2026,Atacado,8,2959.2,1432.4,190.85,Venda
