Código (SKU),Data da Venda,Canal de Venda,Quantidade Vendida,Receita Bruta (R$),Desconto (R$),Preço Realizado por Unidade (R$),Tipo de Venda
SKU_1712_MOS,22/11/2025,Varejo,3,539.7,126.87,137.61,Venda
SKU_1906_SHO,22/11/2025,E-commerce,1,294.9,70.42,224.48,Venda
SKU_1899_SAP,22/11/2025,Varejo,1,224.9,43.3,181.6,Venda
SKU_1924_TEA,22/11/2025,Atacado,4,2579.6,773.88,451.43,Venda
SKU_1918_SKY,22/11/2025,Varejo,2,399.8,84.7,157.55,Venda
SKU_1732_OFF,22/11/2025,Atacado,12,13378.8,4013.64,780.43,Venda
SKU_1942_MYS,22/11/2025,Atacado,8,9479.2,2843.76,829.43,Venda
SKU_1722_PAS,22/11/2025,Varejo,1,324.9,49.47,275.43,Venda
SKU_1853_ROS,22/11/2025,E-commerce,1,899.9,233.48,666.42,Venda
SKU_1806_ROS,22/11/2025,Varejo,2,389.8,74.2,157.8,Venda
SKU_1895_PAS,22/11/2025,Varejo,1,194.9,51.32,143.58,Venda
SKU_1922_TEA,22/11/2025,Varejo,1,694.9,164.08,530.82,Venda
SKU_1915_SPA,22/11/2025,Atacado,3,3494.7,1572.63,640.69,Venda
SKU_1852_BLA,22/11/2025,Varejo,1,499.9,113.88,386.02,Venda
SKU_1680_NAV,22/11/2025,Varejo,1,334.9,96.72,238.18,Venda
SKU_1864_BRI,22/11/2025,Atacado,2,339.8,101.94,118.93,Venda
SKU_1963_SER,22/11/2025,Atacado,6,4169.4,1459.26,451.69,Venda
SKU_2063_SHO,22/11/2025,E-commerce,1,219.9,44.87,175.03,Venda
SKU_1837_EGR,22/11/2025,Atacado,4,999.6,349.84,162.44,Venda
SKU_1863_POW,22/11/2025,E-commerce,1,254.9,69.92,184.98,Venda
SKU_2089_CLO,22/11/2025,Atacado,10,4949.0,1979.6,296.94,Venda
SKU_1802_OLI,22/11/2025,E-commerce,1,744.9,218.47,526.43,Venda
SKU_1925_PIN,22/11/2025,Varejo,1,364.9,57.16,307.74,Venda
SKU_2067_MIN,22/11/2025,Varejo,1,349.9,94.68,255.22,Venda
SKU_2024_MIN,22/11/2025,Varejo,1,384.9,98.6,286.3,Venda
SKU_1972_PAS,22/11/2025,Atacado,12,4138.8,1655.52,206.94,Venda
SKU_1682_OLI,22/11/2025,E-commerce,1,234.9,36.45,198.45,Venda
SKU_1794_FLA,22/11/2025,Atacado,4,839.6,293.84,136.44,Venda
SKU_1814_PAS,22/11/2025,Atacado,2,759.8,265.92,246.94,Venda
SKU_1981_FOR,22/11/2025,Varejo,2,1029.8,191.48,419.16,Venda
SKU_2074_PAS,22/11/2025,Varejo,2,529.8,113.38,208.21,Venda
SKU_1819_AQU,22/11/2025,Atacado,4,1379.6,551.84,206.94,Venda
SKU_1953_IVO,22/11/2025,Atacado,4,939.6,281.88,164.43,Venda
SKU_1825_MIN,22/11/2025,Varejo,1,174.9,33.99,140.91,Venda
SKU_1974_JAD,22/11/2025,Atacado,6,1199.4,419.76,129.94,Venda
SKU_2051_FOR,22/11/2025,Atacado,2,1539.8,461.94,538.93,Venda
SKU_1933_SNO,22/11/2025,Atacado,6,1349.4,472.32,146.18,Venda
SKU_1829_MOS,22/11/2025,Atacado,5,1299.5,454.8,168.94,Venda
SKU_1801_FLA,22/11/2025,Atacado,4,1499.6,449.88,262.43,Venda
