Código (SKU),Data da Venda,Canal de Venda,Quantidade Vendida,Receita Bruta (R$),Desconto (R$),Preço Realizado por Unidade (R$),Tipo de Venda
SKU_1383_TUR,16/02/2025,Atacado,5,899.5,412.6,97.38,Venda
SKU_1385_NAV,16/02/2025,Atacado,4,1159.6,597.96,140.41,Venda
SKU_1580_MOS,16/02/2025,Varejo,1,189.9,24.2,165.7,Venda
SKU_1457_SNO,16/02/2025,Atacado,3,479.7,226.68,84.34,Venda
SKU_1711_ARM,16/02/2025,Varejo,3,2984.7,562.47,807.41,Venda
SKU_1464_MOS,16/02/2025,Atacado,6,1379.4,614.34,127.51,Venda
SKU_1797_GAR,16/02/2025,Varejo,3,1139.7,145.8,331.3,Venda
SKU_1646_BLU,16/02/2025,Varejo,1,204.9,32.45,172.45,Venda
SKU_1568_FRE,16/02/2025,Atacado,3,704.7,385.11,106.53,Venda
SKU_1533_DUS,16/02/2025,Atacado,6,989.4,429.84,93.26,Venda
SKU_1363_HUN,16/02/2025,Varejo,1,949.9,103.54,846.36,Venda
SKU_1404_SAP,16/02/2025,Varejo,4,4079.6,559.84,879.94,Venda
SKU_1664_PIN,16/02/2025,Atacado,4,1319.6,644.8,168.7,Venda
SKU_1634_SAP,16/02/2025,Varejo,1,979.9,150.4,829.5,Venda
SKU_1471_ROS,16/02/2025,Atacado,6,1229.4,647.76,96.94,Venda
SKU_1685_BIR,16/02/2025,E-commerce,1,664.9,79.3,585.6,Venda
SKU_1370_PRI,16/02/2025,Varejo,1,179.9,35.41,144.49,Venda
SKU_1509_HOT,16/02/2025,E-commerce,2,639.8,73.6,283.1,Venda
SKU_1499_HOT,16/02/2025,E-commerce,1,259.9,50.14,209.76,Venda
SKU_1318_PAS,16/02/2025,Atacado,2,479.8,225.4,127.2,Venda
SKU_1608_MID,16/02/2025,E-commerce,1,304.9,33.43,271.47,Venda
SKU_1493_PEA,16/02/2025,Varejo,1,329.9,38.16,291.74,Venda
SKU_1561_LIM,16/02/2025,Atacado,3,1049.7,461.46,196.08,Venda
SKU_1766_MYS,16/02/2025,Varejo,2,789.8,155.9,316.95,Venda
SKU_1533_DUS,16/02/2025,Varejo,1,164.9,21.34,143.56,Venda
