Código (SKU),Data da Venda,Canal de Venda,Quantidade Vendida,Receita Bruta (R$),Desconto (R$),Preço Realizado por Unidade (R$),Tipo de Venda
SKU_1924_BIR,20/08/2025,Atacado,3,1934.7,773.88,386.94,Venda
SKU_1991_GAR,20/08/2025,Varejo,2,599.8,0.0,299.9,Venda
SKU_1979_MAR,20/08/2025,Varejo,1,194.9,0.0,194.9,Venda
SKU_1716_SAL,20/08/2025,Varejo,1,164.9,38.18,126.72,Venda
SKU_2038_COB,20/08/2025,Varejo,2,2269.8,158.88,1055.46,Venda
SKU_1758_CLO,20/08/2025,Varejo,1,179.9,36.88,143.02,Venda
SKU_1714_MID,20/08/2025,E-commerce,1,304.9,69.65,235.25,Venda
SKU_1812_BRI,20/08/2025,Varejo,1,659.9,0.0,659.9,Venda
SKU_2111_ARM,20/08/2025,Varejo,1,234.9,0.0,234.9,Venda
SKU_2048_FOR,20/08/2025,Varejo,1,384.9,0.0,384.9,Venda
SKU_1953_LIM,20/08/2025,E-commerce,2,469.8,32.88,218.46,Venda
SKU_1997_MID,20/08/2025,Atacado,12,2278.8,1025.52,104.44,Venda
SKU_1978_ROS,20/08/2025,Varejo,1,249.9,0.0,249.9,Venda
SKU_1791_ARM,20/08/2025,Atacado,5,1324.5,529.8,158.94,Venda
SKU_2018_OFF,20/08/2025,Varejo,1,479.9,0.0,479.9,Venda
SKU_1796_OLI,20/08/2025,Atacado,5,2524.5,883.55,328.19,Venda
SKU_1984_PIN,20/08/2025,Atacado,10,2999.0,1049.6,194.94,Venda
SKU_1917_IVO,20/08/2025,Atacado,3,1124.7,393.63,243.69,Venda
SKU_2075_COB,20/08/2025,Varejo,1,239.9,0.0,239.9,Venda
SKU_2041_POW,20/08/2025,Varejo,1,219.9,0.0,219.9,Venda
SKU_1692_OLI,20/08/2025,Varejo,1,219.9,56.83,163.07,Venda
SKU_1973_MYS,20/08/2025,Atacado,3,959.7,287.91,223.93,Venda
SKU_1942_MYS,20/08/2025,E-commerce,1,1184.9,0.0,1184.9,Venda
SKU_1988_WHI,20/08/2025,Varejo,1,424.9,0.0,424.9,Venda
SKU_2041_MOS,20/08/2025,Atacado,4,879.6,263.88,153.93,Venda
SKU_1827_BUB,20/08/2025,Atacado,5,974.5,341.1,126.68,Venda
SKU_2023_SPA,20/08/2025,E-commerce,1,159.9,0.0,159.9,Venda
SKU_2050_MOS,20/08/2025,Atacado,5,2274.5,682.35,318.43,Venda
SKU_1900_FRE,20/08/2025,Atacado,6,2549.4,764.82,297.43,Venda
SKU_2047_FUC,20/08/2025,E-commerce,1,1124.9,0.0,1124.9,Venda
SKU_1979_MAR,20/08/2025,Varejo,1,194.9,0.0,194.9,Venda
SKU_1840_LIM,20/08/2025,Atacado,2,429.8,171.92,128.94,Venda
SKU_2091_AQU,20/08/2025,Varejo,1,239.9,0.0,239.9,Venda
SKU_1836_MID,20/08/2025,Varejo,1,714.9,0.0,714.9,Venda
SKU_1853_ROS,20/08/2025,Varejo,1,899.9,0.0,899.9,Venda
SKU_2014_BLA,20/08/2025,Atacado,8,2559.2,1023.68,191.94,Venda
SKU_1988_WHI,20/08/2025,Varejo,1,424.9,0.0,424.9,Venda
SKU_2103_RAS,20/08/2025,Varejo,1,469.9,0.0,469.9,Venda
SKU_2088_DUS,20/08/2025,Varejo,1,1094.9,0.0,1094.9,Venda
SKU_1949_VAN,20/08/2025,Atacado,4,659.6,230.88,107.18,Venda
SKU_1970_PEA,20/08/2025,Atacado,4,3079.6,923.88,538.93,Venda
SKU_2016_SAP,20/08/2025,Atacado,8,1799.2,539.76,157.43,Venda
SKU_1788_MYS,20/08/2025,Atacado,2,499.8,174.92,162.44,Venda
SKU_1813_RAS,20/08/2025,Atacado,5,1274.5,382.35,178.43,Venda
SKU_1976_SKY,20/08/2025,Atacado,10,5399.0,1889.6,350.94,Venda
SKU_1937_BUB,20/08/2025,E-commerce,1,209.9,14.69,195.21,Venda
SKU_1949_SKY,20/08/2025,E-commerce,2,329.8,23.08,153.36,Venda
SKU_1905_WHI,20/08/2025,E-commerce,1,359.9,0.0,359.9,Venda
SKU_1926_SHO,20/08/2025,E-commerce,1,269.9,0.0,269.9,Venda
SKU_2030_SER,20/08/2025,Atacado,3,1034.7,310.41,241.43,Venda
SKU_1782_NAV,20/08/2025,Varejo,3,749.7,175.41,191.43,Venda
SKU_1983_SAP,20/08/2025,Varejo,1,224.9,15.74,209.16,Venda
SKU_1846_SEA,20/08/2025,E-commerce,3,1049.7,0.0,349.9,Venda
SKU_1829_HUN,20/08/2025,E-commerce,2,519.8,0.0,259.9,Venda
SKU_1920_GAR,20/08/2025,E-commerce,1,254.9,0.0,254.9,Venda
SKU_1719_OFF,20/08/2025,Varejo,1,319.9,81.91,237.99,Venda
SKU_2051_FOR,20/08/2025,E-commerce,2,1539.8,0.0,769.9,Venda
SKU_1975_PAS,20/08/2025,Varejo,1,444.9,0.0,444.9,Venda
SKU_1892_ROS,20/08/2025,E-commerce,1,289.9,0.0,289.9,Venda
SKU_1861_DEE,20/08/2025,Varejo,3,584.7,0.0,194.9,Venda
SKU_1891_MAR,20/08/2025,Atacado,4,1319.6,395.88,230.93,Venda
SKU_1774_COB,20/08/2025,Varejo,2,409.8,64.94,172.43,Venda
SKU_1731_MIN,20/08/2025,Atacado,3,2729.7,818.91,636.93,Venda
SKU_1859_PEA,20/08/2025,Varejo,1,429.9,0.0,429.9,Venda
SKU_1954_ROY,20/08/2025,Varejo,1,209.9,0.0,209.9,Venda
SKU_2103_RAS,20/08/2025,Atacado,12,5638.8,1973.52,305.44,Venda
SKU_1855_AQU,20/08/2025,E-commerce,1,274.9,0.0,274.9,Venda
SKU_1999_SKY,20/08/2025,Atacado,10,2349.0,822.2,152.68,Venda
SKU_1968_JAD,20/08/2025,Atacado,3,524.7,209.88,104.94,Venda
SKU_1957_CRE,20/08/2025,Atacado,3,569.7,199.38,123.44,Venda
SKU_1907_TEA,20/08/2025,Varejo,4,1099.6,0.0,274.9,Venda
SKU_1934_HON,20/08/2025,Varejo,2,519.8,0.0,259.9,Venda
SKU_2027_CLE,20/08/2025,E-commerce,1,349.9,0.0,349.9,Venda
SKU_1750_SNO,20/08/2025,Varejo,1,369.9,86.8,283.1,Venda
SKU_1975_MYS,20/08/2025,Atacado,5,2224.5,667.35,311.43,Venda
SKU_2060_MEX,20/08/2025,Varejo,1,934.9,0.0,934.9,Venda
SKU_2083_GAR,20/08/2025,E-commerce,1,234.9,0.0,234.9,Venda
SKU_1861_SAP,20/08/2025,Atacado,3,584.7,175.41,136.43,Venda
SKU_1905_PRI,20/08/2025,Varejo,4,1439.6,0.0,359.9,Venda
SKU_1841_LIM,20/08/2025,Varejo,1,144.9,0.0,144.9,Venda
SKU_1811_PIN,20/08/2025,Varejo,1,689.9,0.0,689.9,Venda
SKU_2058_BUB,20/08/2025,Varejo,1,209.9,14.69,195.21,Venda
SKU_1764_MAR,20/08/2025,Atacado,4,939.6,328.88,152.68,Venda
SKU_2015_OLI,20/08/2025,Varejo,1,314.9,0.0,314.9,Venda
SKU_1962_LIG,20/08/2025,Atacado,5,1074.5,429.8,128.94,Venda
SKU_1794_FLA,20/08/2025,Atacado,2,419.8,188.92,115.44,Venda
SKU_1890_ROY,20/08/2025,Varejo,1,254.9,0.0,254.9,Venda
SKU_1918_SKY,20/08/2025,Atacado,6,1199.4,359.82,139.93,Venda
SKU_1729_FUC,20/08/2025,Atacado,10,1749.0,612.2,113.68,Venda
SKU_1723_MOS,20/08/2025,Varejo,1,434.9,111.69,323.21,Venda
SKU_1924_TEA,20/08/2025,Varejo,3,1934.7,0.0,644.9,Venda
SKU_2026_HON,20/08/2025,Atacado,5,5149.5,1802.3,669.44,Venda
SKU_1989_MAG,20/08/2025,Atacado,12,4198.8,1469.52,227.44,Venda
SKU_1716_SAL,20/08/2025,Atacado,2,329.8,115.44,107.18,Venda
SKU_1951_COR,20/08/2025,E-commerce,1,254.9,0.0,254.9,Venda
SKU_1973_SKY,20/08/2025,E-commerce,1,319.9,0.0,319.9,Venda
SKU_1737_DEE,20/08/2025,Atacado,5,3849.5,1154.85,538.93,Venda
SKU_2021_NAV,20/08/2025,Varejo,1,189.9,0.0,189.9,Venda
SKU_1933_SNO,20/08/2025,Varejo,2,449.8,0.0,224.9,Venda
SKU_1898_WHI,20/08/2025,Varejo,1,484.9,0.0,484.9,Venda
SKU_2000_SAG,20/08/2025,Atacado,3,644.7,257.88,128.94,Venda
SKU_1784_BLA,20/08/2025,Varejo,1,309.9,57.73,252.17,Venda
SKU_2038_OFF,20/08/2025,Atacado,3,3404.7,1191.66,737.68,Venda
SKU_1768_PEA,20/08/2025,Varejo,1,624.9,140.99,483.91,Venda
SKU_1819_AQU,20/08/2025,Atacado,8,2759.2,827.76,241.43,Venda
SKU_1766_CLE,20/08/2025,Atacado,2,789.8,276.42,256.69,Venda
SKU_1930_GAR,20/08/2025,Varejo,1,659.9,0.0,659.9,Venda
SKU_1693_FLA,20/08/2025,Atacado,4,819.6,327.84,122.94,Venda
SKU_1828_CER,20/08/2025,E-commerce,1,244.9,0.0,244.9,Venda
SKU_1680_NAV,20/08/2025,Varejo,2,669.8,165.5,252.15,Venda
SKU_1861_SAP,20/08/2025,Atacado,4,779.6,311.84,116.94,Venda
SKU_2015_OLI,20/08/2025,Varejo,1,314.9,0.0,314.9,Venda
SKU_2077_PIS,20/08/2025,Varejo,1,204.9,0.0,204.9,Venda
SKU_2075_COB,20/08/2025,Atacado,4,959.6,335.84,155.94,Venda
SKU_2068_HON,20/08/2025,Atacado,5,2024.5,607.35,283.43,Venda
SKU_1715_JAD,20/08/2025,Varejo,1,219.9,36.36,183.54,Venda
SKU_1823_COR,20/08/2025,Atacado,5,974.5,341.1,126.68,Venda
SKU_1992_DEE,20/08/2025,Varejo,2,1849.8,0.0,924.9,Venda
SKU_1893_TEA,20/08/2025,Atacado,5,3149.5,944.85,440.93,Venda
SKU_1751_MIN,20/08/2025,Atacado,4,1319.6,395.88,230.93,Venda
SKU_2049_TEA,20/08/2025,E-commerce,1,214.9,0.0,214.9,Venda
SKU_1956_CLO,20/08/2025,E-commerce,2,419.8,0.0,209.9,Venda
SKU_2108_BLU,20/08/2025,Atacado,6,1799.4,629.76,194.94,Venda
SKU_2025_BAB,20/08/2025,Varejo,1,229.9,0.0,229.9,Venda
SKU_1740_FRE,20/08/2025,Atacado,5,1074.5,376.1,139.68,Venda
SKU_1971_RAS,20/08/2025,Atacado,3,2489.7,871.38,539.44,Venda
SKU_1807_IVO,20/08/2025,Atacado,10,4549.0,1819.6,272.94,Venda
SKU_1939_LIG,20/08/2025,Atacado,5,799.5,239.85,111.93,Venda
SKU_2110_SPA,20/08/2025,Varejo,1,219.9,0.0,219.9,Venda
SKU_1902_HOT,20/08/2025,Atacado,5,4149.5,1244.85,580.93,Venda
SKU_1796_OLI,20/08/2025,E-commerce,1,504.9,136.91,367.99,Venda
SKU_1844_BAL,20/08/2025,Varejo,1,249.9,0.0,249.9,Venda
SKU_2071_PAS,20/08/2025,Varejo,1,259.9,0.0,259.9,Venda
SKU_1818_BRI,20/08/2025,Varejo,1,204.9,0.0,204.9,Venda
SKU_1990_IVO,20/08/2025,Atacado,5,899.5,314.8,116.94,Venda
SKU_1864_VAN,20/08/2025,Atacado,3,509.7,152.91,118.93,Venda
SKU_1851_DEE,20/08/2025,Atacado,3,644.7,225.66,139.68,Venda
SKU_1999_COB,20/08/2025,Atacado,8,1879.2,751.68,140.94,Venda
SKU_1947_CLE,20/08/2025,Varejo,1,439.9,0.0,439.9,Venda
SKU_1681_OFF,20/08/2025,Varejo,1,234.9,37.17,197.73,Venda
SKU_2104_LIG,20/08/2025,E-commerce,1,224.9,0.0,224.9,Venda
SKU_1989_MAG,20/08/2025,Varejo,1,349.9,0.0,349.9,Venda
SKU_1835_BIR,20/08/2025,Atacado,2,369.8,129.44,120.18,Venda
SKU_1961_SHO,20/08/2025,E-commerce,1,414.9,0.0,414.9,Venda
