Código (SKU),Data da Venda,Canal de Venda,Quantidade Vendida,Receita Bruta (R$),Desconto (R$),Preço Realizado por Unidade (R$),Tipo de Venda
SKU_1424_BAB,07/10/2024,Atacado,3,2984.7,1550.85,477.95,Venda
SKU_1413_SAG,07/10/2024,Varejo,1,184.9,0.0,184.9,Venda
SKU_1549_BAL,07/10/2024,Atacado,3,554.7,299.22,85.16,Venda
SKU_1316_DEN,07/10/2024,Varejo,1,514.9,88.61,426.29,Venda
SKU_1451_WHI,07/10/2024,Atacado,4,979.6,519.88,114.93,Venda
SKU_1387_BRI,07/10/2024,Varejo,1,159.9,44.46,115.44,Venda
SKU_1369_RAS,07/10/2024,Atacado,4,639.6,338.84,75.19,Venda
SKU_1282_BAL,07/10/2024,Varejo,1,214.9,57.45,157.45,Venda
SKU_1622_VAN,07/10/2024,Atacado,4,1079.6,555.64,130.99,Venda
SKU_1298_IVO,07/10/2024,E-commerce,1,179.9,39.66,140.24,Venda
SKU_1554_PIS,07/10/2024,Varejo,1,1034.9,72.44,962.46,Venda
SKU_1550_IVO,07/10/2024,Varejo,1,164.9,0.0,164.9,Venda
SKU_1484_MOS,07/10/2024,E-commerce,1,459.9,0.0,459.9,Venda
SKU_1604_CLE,07/10/2024,Atacado,3,1814.7,981.63,277.69,Venda
SKU_1346_PEA,07/10/2024,E-commerce,1,264.9,78.18,186.72,Venda
SKU_1611_BRI,07/10/2024,Varejo,1,219.9,0.0,219.9,Venda
SKU_1279_FUC,07/10/2024,E-commerce,1,454.9,105.64,349.26,Venda
SKU_1437_ROY,07/10/2024,Varejo,1,164.9,0.0,164.9,Venda
SKU_1587_DEE,07/10/2024,Atacado,6,1379.4,714.12,110.88,Venda
SKU_1383_TUR,07/10/2024,Varejo,2,359.8,58.66,150.57,Venda
SKU_1382_HOT,07/10/2024,Atacado,3,569.7,279.6,96.7,Venda
SKU_1311_NAV,07/10/2024,Atacado,5,4399.5,1853.15,509.27,Venda
SKU_1470_WHI,07/10/2024,Atacado,4,3679.6,1570.96,527.16,Venda
SKU_1348_PIS,07/10/2024,Atacado,6,3899.4,1972.56,321.14,Venda
SKU_1277_MYS,07/10/2024,Varejo,1,264.9,74.71,190.19,Venda
SKU_1573_MIN,07/10/2024,Atacado,4,4099.6,1998.96,525.16,Venda
SKU_1332_MOS,07/10/2024,Atacado,3,494.7,234.6,86.7,Venda
SKU_1329_MIN,07/10/2024,E-commerce,1,274.9,67.67,207.23,Venda
SKU_1551_ROS,07/10/2024,Varejo,2,439.8,0.0,219.9,Venda
SKU_1579_SAG,07/10/2024,Varejo,1,229.9,0.0,229.9,Venda
SKU_1368_SNO,07/10/2024,Varejo,1,744.9,187.21,557.69,Venda
SKU_1400_FOR,07/10/2024,Varejo,1,209.9,0.0,209.9,Venda
SKU_1430_PEA,07/10/2024,E-commerce,2,359.8,0.0,179.9,Venda
SKU_1580_MOS,07/10/2024,Varejo,1,189.9,0.0,189.9,Venda
SKU_1579_SAG,07/10/2024,Varejo,3,689.7,0.0,229.9,Venda
SKU_1483_WHI,07/10/2024,Varejo,1,324.9,0.0,324.9,Venda
SKU_1329_MIN,07/10/2024,Atacado,5,1374.5,638.8,147.14,Venda
SKU_1320_PIS,07/10/2024,Varejo,2,299.8,50.28,124.76,Venda
SKU_1602_AQU,07/10/2024,Atacado,8,1839.2,887.6,118.95,Venda
SKU_1623_SER,07/10/2024,Varejo,2,1829.8,0.0,914.9,Venda
SKU_1661_CER,07/10/2024,Atacado,12,11878.8,6284.28,466.21,Venda
SKU_1488_IVO,07/10/2024,Varejo,1,339.9,0.0,339.9,Venda
SKU_1547_FUC,07/10/2024,Atacado,4,1319.6,621.8,174.45,Venda
SKU_1420_EGR,07/10/2024,Atacado,8,7919.2,4937.68,372.69,Venda
SKU_1465_CLE,07/10/2024,Atacado,4,1259.6,645.6,153.5,Venda
SKU_1653_ROS,07/10/2024,Varejo,2,719.8,0.0,359.9,Venda
SKU_1465_CLE,07/10/2024,Varejo,1,314.9,0.0,314.9,Venda
SKU_1636_LIG,07/10/2024,Varejo,1,439.9,0.0,439.9,Venda
SKU_1461_NAV,07/10/2024,Varejo,1,1069.9,0.0,1069.9,Venda
SKU_1464_MOS,07/10/2024,Varejo,1,229.9,0.0,229.9,Venda
SKU_1412_BAB,08/10/2024,Atacado,5,4474.5,2557.45,383.41,Venda
SKU_1386_SER,08/10/2024,Atacado,12,2578.8,1245.72,111.09,Venda
SKU_1514_SPA,08/10/2024,Atacado,5,4149.5,1976.6,434.58,Venda
SKU_1678_MAG,08/10/2024,Atacado,2,1429.8,641.0,394.4,Venda
SKU_1608_MID,08/10/2024,Atacado,5,1524.5,745.75,155.75,Venda
SKU_1555_RAS,08/10/2024,Atacado,5,949.5,536.2,82.66,Venda
SKU_1539_PEA,08/10/2024,Varejo,3,1049.7,0.0,349.9,Venda
SKU_1654_CRE,08/10/2024,Atacado,8,2479.2,1237.92,155.16,Venda
SKU_1505_SNO,08/10/2024,Varejo,2,469.8,0.0,234.9,Venda
SKU_1503_CER,08/10/2024,Varejo,1,229.9,0.0,229.9,Venda
SKU_1393_COB,08/10/2024,Varejo,1,309.9,0.0,309.9,Venda
SKU_1284_HOT,08/10/2024,E-commerce,3,2129.7,365.37,588.11,Venda
SKU_1405_FLA,08/10/2024,Atacado,3,644.7,346.47,99.41,Venda
SKU_1286_HOT,08/10/2024,Varejo,1,244.9,50.28,194.62,Venda
SKU_1627_MOS,08/10/2024,Varejo,1,329.9,0.0,329.9,Venda
SKU_1331_AQU,08/10/2024,Varejo,1,279.9,62.96,216.94,Venda
SKU_1596_BIR,08/10/2024,Atacado,4,1099.6,627.76,117.96,Venda
SKU_1601_EME,08/10/2024,Atacado,3,2204.7,1050.24,384.82,Venda
SKU_1418_CLE,08/10/2024,Varejo,1,844.9,0.0,844.9,Venda
SKU_1435_SKY,08/10/2024,Atacado,10,10099.0,4652.6,544.64,Venda
SKU_1486_PAL,08/10/2024,Varejo,1,289.9,20.29,269.61,Venda
SKU_1468_BAB,08/10/2024,Varejo,1,529.9,37.09,492.81,Venda
SKU_1368_SNO,08/10/2024,E-commerce,1,744.9,121.82,623.08,Venda
SKU_1440_PIS,08/10/2024,E-commerce,1,1199.9,0.0,1199.9,Venda
SKU_1509_MAG,08/10/2024,Atacado,4,1279.6,589.92,172.42,Venda
SKU_1466_SAP,08/10/2024,Atacado,4,1079.6,614.64,116.24,Venda
SKU_1501_SAL,08/10/2024,E-commerce,1,169.9,0.0,169.9,Venda
SKU_1429_SPA,08/10/2024,Varejo,3,569.7,0.0,189.9,Venda
SKU_1321_SER,08/10/2024,Varejo,1,149.9,29.41,120.49,Venda
SKU_1647_ARM,08/10/2024,Atacado,12,4078.8,2060.76,168.17,Venda
SKU_1312_NAV,08/10/2024,Varejo,1,249.9,70.17,179.73,Venda
SKU_1650_EGR,08/10/2024,E-commerce,1,1004.9,0.0,1004.9,Venda
SKU_1624_PRI,08/10/2024,Varejo,3,629.7,0.0,209.9,Venda
SKU_1452_DEE,08/10/2024,Varejo,3,434.7,0.0,144.9,Venda
SKU_1492_SKY,08/10/2024,Atacado,5,1874.5,819.15,211.07,Venda
SKU_1471_LIG,08/10/2024,Varejo,1,204.9,0.0,204.9,Venda
SKU_1579_SAG,08/10/2024,E-commerce,1,229.9,0.0,229.9,Venda
SKU_1627_MOS,08/10/2024,Atacado,4,1319.6,602.28,179.33,Venda
SKU_1494_HOT,08/10/2024,Varejo,2,2169.8,0.0,1084.9,Venda
SKU_1350_SNO,08/10/2024,Varejo,1,284.9,79.87,205.03,Venda
SKU_1445_PRI,08/10/2024,Atacado,4,1639.6,943.56,174.01,Venda
SKU_1642_SAL,08/10/2024,Varejo,1,224.9,0.0,224.9,Venda
SKU_1585_BLA,08/10/2024,Varejo,1,319.9,0.0,319.9,Venda
SKU_1282_PIN,08/10/2024,Atacado,5,1074.5,544.9,105.92,Venda
SKU_1497_VAN,08/10/2024,E-commerce,1,134.9,0.0,134.9,Venda
SKU_1555_FUC,08/10/2024,Varejo,2,379.8,0.0,189.9,Venda
SKU_1390_SAP,08/10/2024,Atacado,4,919.6,486.36,108.31,Venda
