Código (SKU),Data da Venda,Canal de Venda,Quantidade Vendida,Receita Bruta (R$),Desconto (R$),Preço Realizado por Unidade (R$),Tipo de Venda
SKU_1708_FLA,01/04/2025,Varejo,1,169.9,0.0,169.9,Venda
SKU_1725_BAB,01/04/2025,Atacado,6,1469.4,440.82,171.43,Venda
SKU_1682_BIR,01/04/2025,E-commerce,1,234.9,0.0,234.9,Venda
SKU_1413_JAD,01/04/2025,E-commerce,1,184.9,32.58,152.32,Venda
SKU_1626_BAB,01/04/2025,E-commerce,1,539.9,116.84,423.06,Venda
SKU_1472_EME,01/04/2025,Varejo,2,939.8,152.82,393.49,Venda
SKU_1727_LIG,01/04/2025,E-commerce,2,309.8,0.0,154.9,Venda
SKU_1516_CRE,01/04/2025,E-commerce,3,1049.7,282.21,255.83,Venda
SKU_1475_MIN,01/04/2025,Atacado,5,1249.5,437.3,162.44,Venda
SKU_1764_MAR,01/04/2025,Atacado,4,939.6,328.88,152.68,Venda
SKU_1725_OFF,01/04/2025,Atacado,6,1469.4,440.82,171.43,Venda
SKU_1630_SNO,01/04/2025,Varejo,2,669.8,137.22,266.29,Venda
SKU_1748_COB,01/04/2025,E-commerce,1,309.9,21.69,288.21,Venda
SKU_1745_PEA,01/04/2025,Atacado,5,2049.5,819.8,245.94,Venda
SKU_1526_FOR,01/04/2025,Varejo,1,169.9,39.61,130.29,Venda
SKU_1433_OLI,01/04/2025,Atacado,10,3149.0,1102.1,204.69,Venda
SKU_1548_CLO,01/04/2025,Atacado,8,3799.2,1329.68,308.69,Venda
SKU_1664_PIN,01/04/2025,Varejo,1,329.9,81.82,248.08,Venda
SKU_1620_BLU,01/04/2025,Varejo,3,794.7,125.97,222.91,Venda
SKU_1695_LIM,01/04/2025,E-commerce,1,209.9,0.0,209.9,Venda
SKU_1546_IVO,01/04/2025,Varejo,1,174.9,39.41,135.49,Venda
SKU_1774_MOS,01/04/2025,Atacado,2,409.8,143.44,133.18,Venda
SKU_1722_PAS,01/04/2025,Atacado,8,2599.2,779.76,227.43,Venda
SKU_1729_CLE,01/04/2025,Varejo,1,174.9,0.0,174.9,Venda
SKU_1588_PAS,01/04/2025,Varejo,2,979.8,196.6,391.6,Venda
SKU_1785_PAS,01/04/2025,Atacado,6,1469.4,440.82,171.43,Venda
SKU_1797_GAR,01/04/2025,Atacado,8,3039.2,911.76,265.93,Venda
SKU_1689_IVO,01/04/2025,Atacado,12,11578.8,4052.64,627.18,Venda
SKU_1488_PEA,01/04/2025,Atacado,3,1019.7,407.88,203.94,Venda
SKU_1724_PEA,01/04/2025,Atacado,10,11149.0,3344.7,780.43,Venda
SKU_1740_OLI,01/04/2025,Atacado,8,1719.2,687.68,128.94,Venda
SKU_1779_LIG,01/04/2025,Atacado,5,1074.5,322.35,150.43,Venda
SKU_1749_BIR,01/04/2025,Atacado,3,1049.7,314.91,244.93,Venda
SKU_1606_COB,01/04/2025,Atacado,3,3254.7,1139.16,705.18,Venda
SKU_1625_GAR,01/04/2025,Varejo,2,409.8,75.5,167.15,Venda
SKU_1574_GAR,01/04/2025,Varejo,1,604.9,113.28,491.62,Venda
SKU_1763_HOT,01/04/2025,Atacado,6,1799.4,719.76,179.94,Venda
SKU_1751_MIN,01/04/2025,Atacado,8,2639.2,791.76,230.93,Venda
SKU_1718_DUS,01/04/2025,Atacado,5,1849.5,647.3,240.44,Venda
SKU_1740_FRE,01/04/2025,Atacado,4,859.6,300.88,139.68,Venda
SKU_1709_CRE,01/04/2025,Atacado,6,1259.4,440.76,136.44,Venda
SKU_1743_CLO,01/04/2025,Atacado,10,4399.0,1319.7,307.93,Venda
SKU_1527_FUC,01/04/2025,Atacado,5,4549.5,1364.85,636.93,Venda
SKU_1764_MAR,01/04/2025,E-commerce,1,234.9,16.44,218.46,Venda
SKU_1422_PIN,01/04/2025,E-commerce,1,314.9,55.3,259.6,Venda
SKU_1536_FRE,01/04/2025,Varejo,1,344.9,78.45,266.45,Venda
SKU_1687_WHI,01/04/2025,E-commerce,1,899.9,0.0,899.9,Venda
SKU_1571_WHI,01/04/2025,Varejo,2,499.8,102.18,198.81,Venda
SKU_1785_HUN,01/04/2025,Atacado,5,1224.5,489.8,146.94,Venda
SKU_1748_COB,01/04/2025,Varejo,2,619.8,0.0,309.9,Venda
SKU_1736_PAS,01/04/2025,Atacado,4,1299.6,389.88,227.43,Venda
SKU_1765_MYS,01/04/2025,Varejo,1,259.9,0.0,259.9,Venda
SKU_1580_WHI,01/04/2025,Varejo,1,189.9,34.77,155.13,Venda
SKU_1734_FRE,01/04/2025,Atacado,5,1749.5,524.85,244.93,Venda
SKU_1404_ARM,01/04/2025,Atacado,2,2039.8,611.94,713.93,Venda
SKU_1775_PAS,01/04/2025,E-commerce,2,559.8,0.0,279.9,Venda
